simulation_id,region,patient_count,mean_age,median_age,age_std
0,"    Americas
Name: 0, dtype: object",16270,19.803687768899817,17.0,14.924562861328619
0,"    Asia
Name: 1, dtype: object",3899,22.205180815593742,20.0,16.102352327345454
0,"    Europe
Name: 2, dtype: object",14632,21.440541279387645,19.0,15.578157395151358
1,"    Americas
Name: 0, dtype: object",15820,19.869342604298357,17.0,14.97790886740444
1,"    Asia
Name: 1, dtype: object",3781,22.317905316053952,20.0,16.177977370537217
1,"    Europe
Name: 2, dtype: object",14164,21.43970629765603,19.0,15.6244347700986
3,"    Americas
Name: 0, dtype: object",15358,19.936580283891132,17.0,15.02932435466828
3,"    Asia
Name: 1, dtype: object",3665,22.42319236016371,20.0,16.256092481086995
3,"    Europe
Name: 2, dtype: object",13694,21.455235869723968,19.0,15.674731956500523
5,"    Americas
Name: 0, dtype: object",16270,19.803687768899817,17.0,14.924562861328619
5,"    Asia
Name: 1, dtype: object",3899,22.205180815593742,20.0,16.102352327345454
5,"    Europe
Name: 2, dtype: object",14632,21.440541279387645,19.0,15.578157395151358
7,"    Americas
Name: 0, dtype: object",15820,19.869342604298357,17.0,14.97790886740444
7,"    Asia
Name: 1, dtype: object",3781,22.317905316053952,20.0,16.177977370537217
7,"    Europe
Name: 2, dtype: object",14164,21.43970629765603,19.0,15.6244347700986
12,"    Americas
Name: 0, dtype: object",15358,19.936580283891132,17.0,15.02932435466828
12,"    Asia
Name: 1, dtype: object",3665,22.42319236016371,20.0,16.256092481086995
12,"    Europe
Name: 2, dtype: object",13694,21.455235869723968,19.0,15.674731956500523
15,"    Americas
Name: 0, dtype: object",15820,19.869342604298357,17.0,14.97790886740444
15,"    Asia
Name: 1, dtype: object",3781,22.317905316053952,20.0,16.177977370537217
15,"    Europe
Name: 2, dtype: object",14164,21.43970629765603,19.0,15.6244347700986
16,"    Americas
Name: 0, dtype: object",15820,19.869342604298357,17.0,14.97790886740444
16,"    Asia
Name: 1, dtype: object",3781,22.317905316053952,20.0,16.177977370537217
16,"    Europe
Name: 2, dtype: object",14164,21.43970629765603,19.0,15.6244347700986
17,"    Americas
Name: 0, dtype: object",15358,19.936580283891132,17.0,15.02932435466828
17,"    Asia
Name: 1, dtype: object",3665,22.42319236016371,20.0,16.256092481086995
17,"    Europe
Name: 2, dtype: object",13694,21.455235869723968,19.0,15.674731956500523
19,"    Americas
Name: 0, dtype: object",15358,19.936580283891132,17.0,15.02932435466828
19,"    Asia
Name: 1, dtype: object",3665,22.42319236016371,20.0,16.256092481086995
