simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
0,True,1031073.516427285,1.0759897115991968,True,5741918.104184246,1.6476961094410238,True,10348616.258551741,2.2248195673443227,True,4440490.328997867,0.8649049964633586
1,True,1367890.548768999,1.4577990099000715,True,4278057.469295776,1.7864853284426596,True,14526019.96425494,2.8668462941574826,True,3311434.0876005655,0.7353249347204186
2,True,1264248.2708894573,1.6599917836156524,True,5680836.24619879,2.3772123134315244,False,10105673.183654955,2.4462081598030125,,,
3,True,1743598.2128304862,1.709223071950866,True,3295400.183670769,1.954233926872699,True,18289503.123831593,2.6919577369967174,True,4156186.954890677,0.9137456335162008
4,True,1586873.09700497,1.273402590700173,False,4491160.491767563,1.879911080299627,,,,,,
5,True,1350121.5322869725,1.0328240829533843,True,4143154.9053633735,1.550478782245725,True,14283076.017259836,2.3254534863880743,True,3332704.6015289547,0.642706828199639
6,False,1897733.3852198725,1.191015440899681,,,,,,,,,
7,True,1344383.1832844086,1.3913800791805238,True,3507439.2186558493,1.7723805754642148,True,10624464.18607791,2.5128534569896583,True,2292639.8179221535,0.5096035382511701
8,False,1659275.4847254583,1.8389725653810935,,,,,,,,,
9,False,1949659.00729367,1.2782949454094754,,,,,,,,,
10,True,880383.2946980675,1.5095206004555761,False,4113650.9182224153,2.092340562394464,,,,,,
11,True,1227891.1038921631,1.903863217024491,False,4363291.041080277,2.0533250164286696,,,,,,
12,True,1794094.3465681232,1.8063715006835095,True,3622982.7668181024,2.402339386221144,True,18927990.81161135,2.6124648574437472,True,2088701.4221981475,0.55497647880765
13,True,898192.1687806707,1.2694104699892252,True,5378679.246990567,1.9531393413458367,False,14484590.553217717,2.7240234530212772,,,
14,False,1735155.3402844819,1.1011647411219196,,,,,,,,,
15,True,1631336.8643403128,1.474073309707149,True,3522543.0438784054,1.8578749922895565,True,16535901.053369854,2.2594866437383785,True,4655795.217681574,0.7492568872926728
16,True,1414655.94514644,1.80894022765209,True,5034160.2903750045,1.7161379897892117,True,18002658.89985972,2.6682183470352645,True,3891680.939229063,0.5370018616448841
17,True,986069.7108325383,1.7388018515875363,True,4127171.697199269,2.385735468390727,True,12929746.910840752,2.901716031566016,True,2341540.268758341,0.5097669161583005
18,False,1152124.672789751,1.8415509478164076,,,,,,,,,
19,True,1990036.1268629876,1.2372086204673491,True,5461132.037049859,2.4915066673165587,True,15348969.138755206,2.9793952364340575,True,3194946.1694674,0.5916486731817096
20,True,1632999.0858083104,1.4697875387979809,True,3433235.7923451727,1.9869065618771367,False,15738972.193853252,2.739207140548541,,,
21,True,1289108.8492082201,1.2703936282376733,True,3505564.272724857,1.5151043877996055,False,11221053.994225083,2.30577401042782,,,
22,True,1219140.6965884352,1.419867278242905,False,5213880.598609262,1.9643947247863267,,,,,,
23,True,1996950.0165079583,1.0854967610013277,True,5094183.088749564,2.3159675906466934,True,16490515.98071286,2.2872229783283413,True,4686885.784730902,0.5341799903593538
24,True,1487891.5090552988,1.3378011460849182,True,4903060.131081638,2.067372740620072,True,11350081.778705897,2.2603027019242075,True,2750967.668047533,0.6319311241088407
25,True,1548427.0587130438,1.9345476274181452,False,5336554.77555847,1.8333975667670006,,,,,,
26,True,1272318.4480195963,1.4686999093211202,True,5978362.181607025,1.6249929718902663,True,11279133.520328006,2.6143695019641715,True,4188519.309747356,0.84015270268607
27,True,1003214.4229101816,1.0836213040029519,True,3126684.2267692983,1.7718274806086654,True,17432110.056389064,2.468992070919977,True,4782969.475263888,0.9277380772095971
28,False,1815461.2759749745,1.9435233838572228,,,,,,,,,
29,True,1609650.2686750018,1.5695028844122638,True,5834541.851825882,1.5606166450111312,True,11212865.03573263,2.25197525734024,True,4095668.286518669,0.8242095083865466
30,True,1522591.9720725785,1.5394469330345815,True,4319460.613879751,2.3878044412350605,True,16232570.544083059,2.7428974220534226,True,3629048.869705738,0.9847978067102015
