simulation_id,commercialization_year,total_cost,total_duration,total_revenue,total_treated,success
0,2030.0,21562098.208161138,5.813410384847902,3355577908.7560225,1459,True
1,2031.0,23483402.069920283,6.846455567220632,3249781758.1029873,1413,True
2,,17050757.700743202,6.483412256850189,0.0,0,True
3,2032.0,27484688.475223523,7.2691603693364835,3155485189.042674,1372,True
4,,6078033.588772533,3.1533136709998,0.0,0,True
5,2030.0,23109057.056439135,5.551463179786823,3334878661.889124,1450,True
6,,1897733.3852198725,1.191015440899681,0.0,0,True
7,2031.0,17768926.40594032,6.186217649885567,3284280502.8811502,1428,True
8,,1659275.4847254583,1.8389725653810935,0.0,0,True
9,,1949659.00729367,1.2782949454094754,0.0,0,True
10,,4994034.212920483,3.60186116285004,0.0,0,True
11,,5591182.144972441,3.9571882334531603,0.0,0,True
12,2032.0,26433769.347195722,7.376152223156051,3199183599.095014,1391,True
13,,20761461.968988955,5.946573264356339,0.0,0,True
14,,1735155.3402844819,1.1011647411219196,0.0,0,True
15,2031.0,26345576.17927015,6.3406918330277575,3252081674.4215317,1414,True
16,2031.0,28343156.074610226,6.730298426121451,3281980586.5626063,1427,True
17,2032.0,20384528.5876309,7.53602026770258,3206083348.0506463,1394,True
18,,1152124.672789751,1.8415509478164076,0.0,0,True
19,2032.0,25995083.472135454,7.299759197399675,3171584603.2724843,1379,True
20,,20805207.072006736,6.195901241223659,0.0,0,True
21,,16015727.116158161,5.091272026465099,0.0,0,True
22,,6433021.295197697,3.3842620030292316,0.0,0,True
23,2031.0,28268534.870701283,6.222867320335716,3240582092.82881,1409,True
24,2031.0,20492001.086890366,6.297407712738038,3265881172.3327975,1420,True
25,,6884981.834271514,3.767945194185146,0.0,0,True
26,2031.0,22718333.45970198,6.548215085861628,3249781758.102987,1413,True
27,2031.0,26344978.18133243,6.252178932741192,3242882009.147354,1410,True
28,,1815461.2759749745,1.9435233838572228,0.0,0,True
29,2031.0,22752725.442752182,6.206304295150182,3272780921.2884297,1423,True
30,2032.0,25703671.999741126,7.654946603033266,3217582929.643369,1399,True
31,2031.0,22925772.607279457,6.581012998070447,3247481841.7844424,1412,True
32,,1180076.4175612202,1.7694458892071396,0.0,0,True
33,2031.0,20172869.062922493,6.66450534392589,3288880335.5182385,1430,True
34,2031.0,24264127.801313363,6.186349292246037,3281980586.562606,1427,True
35,2031.0,30427482.473736078,6.028232639880843,3242882009.1473556,1410,True
36,2031.0,26689437.38985449,6.691843378174854,3258981423.3771653,1417,True
37,,19273344.779364124,5.886351678975863,0.0,0,True
38,2032.0,27545971.13641876,7.374210576953096,3189983933.820838,1387,True
39,,1449391.7915916168,1.2277562491264982,0.0,0,True
40,2031.0,21102557.44843228,6.815891048527594,3256681507.0586205,1416,True
41,2031.0,23280824.72310975,6.474337613523133,3254381590.740076,1415,True
42,2031.0,19469222.652661435,6.772142371978185,3252081674.421532,1414,True
43,2031.0,26731890.6332343,6.626606263020193,3247481841.7844434,1412,True
44,2031.0,20806088.474225424,6.300252735252376,3265881172.332796,1420,True
45,2032.0,23261256.072077014,7.971711438285189,3189983933.8208375,1387,True
46,2032.0,26923478.699465923,7.585027107192543,3173884519.5910287,1380,True
47,2031.0,26888083.28820697,6.725667713254081,3233682343.873178,1406,True
48,2032.0,25744003.672150902,7.141585188357198,3178484352.2281156,1382,True
49,,5815792.484799175,3.0366135056096466,0.0,0,True
50,2030.0,23064820.674138077,5.922740452739517,3330278829.252034,1448,True
51,2031.0,22570450.101977054,6.294956695390582,3281980586.562606,1427,True
52,2031.0,23624668.50524902,6.751899485308602,3265881172.332796,1420,True
53,,5387413.379241236,2.6065142608049943,0.0,0,True
54,2032.0,21844004.340376742,7.760032668100655,3183084184.8652043,1384,True
55,,1546981.595884746,1.1089005955831266,0.0,0,True
56,2032.0,30299862.943158407,7.10897489997866,3157785105.3612175,1373,True
57,2030.0,30016784.877705894,5.994544648182615,3357877825.0745664,1460,True
58,2030.0,23818600.04272222,5.662828080507808,3346378243.481844,1455,True
59,,6769438.4524851665,4.264201332226928,0.0,0,True
60,,6104203.300935322,2.9368252873796754,0.0,0,True
61,2031.0,18993151.08148703,6.782276626959275,3270481004.969886,1422,True
62,2031.0,22323294.785243228,6.195573159633566,3263581256.014252,1419,True
63,2031.0,28524063.09527611,6.81401809907109,3279680670.2440615,1426,True
64,,19468969.31926453,7.045266796345787,0.0,0,True
65,,1364240.4489292689,1.0433991627528931,0.0,0,True
66,2031.0,22049272.8902409,6.653410151567384,3258981423.3771653,1417,True
67,2032.0,21211052.35102633,7.330005469142752,3173884519.5910277,1380,True
68,,17670467.87605554,7.144741707831179,0.0,0,False
69,,5183295.5555996895,3.9873623941702183,0.0,0,False
70,2031.0,25279228.30404885,6.289579246458498,3275080837.6069736,1424,True
71,2032.0,20419833.675323036,7.20842259800674,3215283013.3248234,1398,True
