simulation_id,year,patients_alive,patients_treated,revenue,price
0,2030,1036,55,126495397.51993227,2299916.318544223
0,2031,993,93,213892217.62461275,2299916.318544223
0,2032,910,114,262190460.3140414,2299916.318544223
0,2033,802,151,347287364.10017765,2299916.318544223
0,2034,677,129,296689205.09220475,2299916.318544223
0,2035,556,70,160994142.2980956,2299916.318544223
0,2036,517,57,131095230.1570207,2299916.318544223
0,2037,471,35,80497071.1490478,2299916.318544223
0,2038,446,29,66697573.23778246,2299916.318544223
0,2039,427,25,57497907.963605575,2299916.318544223
0,2040,415,31,71297405.87487091,2299916.318544223
0,2041,404,37,85096903.78613625,2299916.318544223
0,2042,386,38,87396820.10468048,2299916.318544223
0,2043,373,40,91996652.74176893,2299916.318544223
0,2044,347,30,68997489.55632669,2299916.318544223
0,2045,330,30,68997489.55632669,2299916.318544223
0,2046,321,35,80497071.1490478,2299916.318544223
0,2047,307,37,85096903.78613625,2299916.318544223
0,2048,293,35,80497071.1490478,2299916.318544223
0,2049,283,38,87396820.10468048,2299916.318544223
0,2050,261,31,71297405.87487091,2299916.318544223
0,2051,251,28,64397656.91923824,2299916.318544223
0,2052,235,30,68997489.55632669,2299916.318544223
0,2053,228,33,75897238.51195936,2299916.318544223
0,2054,227,44,101196318.0159458,2299916.318544223
0,2055,202,28,64397656.91923824,2299916.318544223
0,2056,197,35,80497071.1490478,2299916.318544223
0,2057,185,34,78197154.83050358,2299916.318544223
0,2058,172,33,75897238.51195936,2299916.318544223
0,2059,161,36,82796987.46759203,2299916.318544223
0,2060,137,18,41398493.733796015,2299916.318544223
1,2031,1048,66,151794477.02391872,2299916.318544223
1,2032,991,94,216192133.94315696,2299916.318544223
1,2033,905,112,257590627.67695296,2299916.318544223
1,2034,818,112,257590627.67695296,2299916.318544223
1,2035,711,130,298989121.41074896,2299916.318544223
1,2036,610,99,227691715.53587806,2299916.318544223
1,2037,521,44,101196318.0159458,2299916.318544223
1,2038,484,28,64397656.91923824,2299916.318544223
1,2039,464,26,59797824.2821498,2299916.318544223
1,2040,450,33,75897238.51195936,2299916.318544223
1,2041,436,34,78197154.83050358,2299916.318544223
1,2042,420,40,91996652.74176893,2299916.318544223
1,2043,404,41,94296569.06031314,2299916.318544223
1,2044,377,33,75897238.51195936,2299916.318544223
1,2045,355,26,59797824.2821498,2299916.318544223
1,2046,351,32,73597322.19341514,2299916.318544223
1,2047,339,45,103496234.33449003,2299916.318544223
1,2048,315,32,73597322.19341514,2299916.318544223
1,2049,306,36,82796987.46759203,2299916.318544223
1,2050,288,31,71297405.87487091,2299916.318544223
1,2051,277,30,68997489.55632669,2299916.318544223
1,2052,257,30,68997489.55632669,2299916.318544223
1,2053,250,33,75897238.51195936,2299916.318544223
1,2054,249,42,96596485.37885736,2299916.318544223
1,2055,223,27,62097740.60069402,2299916.318544223
1,2056,219,37,85096903.78613625,2299916.318544223
1,2057,203,32,73597322.19341514,2299916.318544223
1,2058,191,36,82796987.46759203,2299916.318544223
1,2059,175,34,78197154.83050358,2299916.318544223
1,2060,152,18,41398493.733796015,2299916.318544223
3,2032,1057,68,156394309.66100717,2299916.318544223
3,2033,995,84,193192970.75771472,2299916.318544223
3,2034,935,127,292089372.45511633,2299916.318544223
3,2035,812,117,269090209.26967406,2299916.318544223
3,2036,718,115,264490376.63258564,2299916.318544223
3,2037,610,84,193192970.75771472,2299916.318544223
3,2038,532,45,103496234.33449003,2299916.318544223
3,2039,493,29,66697573.23778246,2299916.318544223
3,2040,475,32,73597322.19341514,2299916.318544223
3,2041,462,35,80497071.1490478,2299916.318544223
3,2042,444,39,89696736.4232247,2299916.318544223
3,2043,428,41,94296569.06031314,2299916.318544223
3,2044,401,33,75897238.51195936,2299916.318544223
3,2045,379,29,66697573.23778246,2299916.318544223
3,2046,370,35,80497071.1490478,2299916.318544223
3,2047,357,40,91996652.74176893,2299916.318544223
3,2048,339,31,71297405.87487091,2299916.318544223
3,2049,331,40,91996652.74176893,2299916.318544223
3,2050,307,31,71297405.87487091,2299916.318544223
3,2051,296,28,64397656.91923824,2299916.318544223
3,2052,278,30,68997489.55632669,2299916.318544223
3,2053,271,33,75897238.51195936,2299916.318544223
3,2054,270,43,98896401.69740158,2299916.318544223
3,2055,244,29,66697573.23778246,2299916.318544223
3,2056,237,36,82796987.46759203,2299916.318544223
3,2057,224,32,73597322.19341514,2299916.318544223
3,2058,211,33,75897238.51195936,2299916.318544223
3,2059,200,34,78197154.83050358,2299916.318544223
3,2060,178,19,43698410.05234024,2299916.318544223
5,2030,1036,65,149494560.70537448,2299916.318544223
5,2031,983,101,232291548.1729665,2299916.318544223
5,2032,892,111,255290711.35840875,2299916.318544223
5,2033,791,125,287489539.81802785,2299916.318544223
5,2034,693,128,294389288.77366054,2299916.318544223
5,2035,570,76,174793640.20936096,2299916.318544223
5,2036,524,47,108096066.97157848,2299916.318544223
5,2037,489,39,89696736.4232247,2299916.318544223
5,2038,459,34,78197154.83050358,2299916.318544223
5,2039,434,24,55197991.64506135,2299916.318544223
5,2040,424,32,73597322.19341514,2299916.318544223
5,2041,410,35,80497071.1490478,2299916.318544223
5,2042,393,41,94296569.06031314,2299916.318544223
5,2043,378,39,89696736.4232247,2299916.318544223
5,2044,353,32,73597322.19341514,2299916.318544223
5,2045,334,28,64397656.91923824,2299916.318544223
5,2046,329,35,80497071.1490478,2299916.318544223
5,2047,317,41,94296569.06031314,2299916.318544223
5,2048,297,32,73597322.19341514,2299916.318544223
5,2049,290,38,87396820.10468048,2299916.318544223
5,2050,270,30,68997489.55632669,2299916.318544223
5,2051,260,29,66697573.23778246,2299916.318544223
5,2052,240,32,73597322.19341514,2299916.318544223
5,2053,231,30,68997489.55632669,2299916.318544223
5,2054,233,43,98896401.69740158,2299916.318544223
5,2055,208,31,71297405.87487091,2299916.318544223
5,2056,201,35,80497071.1490478,2299916.318544223
5,2057,189,32,73597322.19341514,2299916.318544223
5,2058,176,36,82796987.46759203,2299916.318544223
5,2059,161,33,75897238.51195936,2299916.318544223
5,2060,141,16,36798661.09670757,2299916.318544223
7,2031,1048,60,137994979.11265337,2299916.318544223
7,2032,997,84,193192970.75771472,2299916.318544223
7,2033,920,110,252990795.03986454,2299916.318544223
7,2034,835,132,303588954.04783744,2299916.318544223
7,2035,709,139,319688368.277647,2299916.318544223
7,2036,599,87,200092719.7133474,2299916.318544223
7,2037,523,53,121895564.88284382,2299916.318544223
7,2038,477,33,75897238.51195936,2299916.318544223
7,2039,453,26,59797824.2821498,2299916.318544223
7,2040,441,32,73597322.19341514,2299916.318544223
7,2041,429,34,78197154.83050358,2299916.318544223
7,2042,413,41,94296569.06031314,2299916.318544223
