iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,False,21.60618965784947,9.970621188484024,False,0.0,1,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0]",[],[],[],[],"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0]",-8.506448996400946,,,,,,,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,14.71268827959908,3.430359074768921,0.0,1.0756902509693553,,,,,,,,,,
1,False,1.8750568067584572,1.900621725126741,False,0.0,1,"[-0.9865491812335361, -0.8885076255249211]",[],[],[],[],"[-0.9865491812335361, -0.8885076255249211]",-1.7269722025043037,,,,,,,1.8750568067584572,1.900621725126741,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,True,22.293759443076326,9.970621188484024,True,106.93764640209517,0,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.6391893805928367, -0.04838040463401859]","[84.3817072760887, 91.2525004490364, 88.40071717383007, 113.95072255290782, 167.54998019635403, 197.66469179688497, 171.92515589142724, 193.20131432590395, 169.32682761113668, 148.55141650550652, 154.9619887849625, 153.34357214694268, 141.14458748554458, 134.43855948459603, 122.05980325634474]","[34, 51, 47, 50, 89, 83, 84, 98, 71, 85, 74, 67, 66, 61, 60]","[152.15579418703948, 42.010302717196055, 45.96796578932076, 64.2066313386145, 108.3653636219053, 112.44841015469865, 105.06284402758573, 115.69271184463825, 101.32581103948723, 87.0436715819879, 70.73681172996515, 92.76987451359159, 72.5444113474542, 66.15254110285628, 61.327186392530265]","[120.20307740776119, 33.18813914658489, 36.314692973563396, 50.723238757505456, 85.60863726130519, 88.83424402221193, 82.99964678179272, 91.39724235726422, 80.04739072119492, 68.76450054977043, 55.88208126667247, 73.28820086573735, 57.31008496448882, 52.26050747125646, 48.44847725009891]","[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.6391893805928367, -0.04838040463401859, 120.20307740776119, 33.18813914658489, 36.314692973563396, 50.723238757505456, 85.60863726130519, 88.83424402221193, 82.99964678179272, 91.39724235726422, 80.04739072119492, 68.76450054977043, 55.88208126667247, 73.28820086573735, 57.31008496448882, 52.26050747125646, 48.44847725009891]",36.09387716098649,2034.0,27.78048570060135,49.33788677756211,126.95046551956166,294.1944683864199,398.6394772378601,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,14.71268827959908,3.430359074768921,0.6875697852268553,1.0756902509693553,0.0,"[84.3817072760887, 91.2525004490364, 88.40071717383007, 96.57890776394983, 144.16183963506487, 137.02142412243978, 120.71597208522374, 115.36308621544859, 107.04151368445187, 79.07873200575894, 88.71351014751268, 87.37632681768332, 70.6406912579185, 78.52045176502679, 65.09482928880581]","[34, 51, 47, 42, 78, 58, 57, 60, 39, 47, 40, 37, 33, 32, 33]",2034.0,"[17.371814788957987, 23.388140561289156, 58.60552514821789, 44.83907445851325, 68.30184797039072, 51.76050755791633, 51.16330880136461, 53.97756748917929, 49.88211839964112, 53.19423746119772, 35.796073511679275, 45.74578152982217]","[8, 11, 24, 24, 34, 26, 31, 28, 22, 25, 21, 21]",2037.0,"[2.0377425262272717, 6.370109347690249, 9.536380140064628, 10.524806368768477, 18.30937569838299, 12.270911148270534, 16.08512692961824, 17.309658766428345, 20.12203420788995, 11.219192437716755]","[1, 3, 4, 6, 7, 6, 8, 8, 8, 6]",2039.0
3,True,21.60618965784947,9.970621188484024,True,116.58128910129915,1,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0]","[91.10639861097397, 143.1481515027043, 55.35237528989727, 152.72828436211472, 132.53794349648166, 204.8400088937555, 140.93928067542038, 174.30483896694372, 185.2532110422033, 163.71405061633723, 148.72229735353002, 149.26867023774741, 148.7999178133839, 116.96750188777432, 125.0517377716074]","[39, 60, 29, 70, 62, 96, 82, 88, 85, 75, 68, 69, 64, 63, 59]","[165.2809754756749, 85.89406035601769, 29.70942763320171, 88.98901757365138, 81.07803422907816, 119.28508294224072, 83.56664775742266, 87.38768180057897, 115.22091713510206, 94.97110046559918, 84.83643622463116, 77.78894265553197, 82.93698946028539, 63.288797081699656, 71.00829196122555]","[130.57197062578317, 67.85630768125398, 23.47044783022935, 70.3013238831846, 64.05164704097174, 94.23521552437018, 66.0176517283639, 69.03626862245738, 91.02452453673062, 75.02716936782335, 67.02078461745862, 61.45326469787025, 65.52022167362546, 49.99814969454273, 56.09655064936818]","[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0, 130.57197062578317, 67.85630768125398, 23.47044783022935, 70.3013238831846, 64.05164704097174, 94.23521552437018, 66.0176517283639, 69.03626862245738, 91.02452453673062, 75.02716936782335, 67.02078461745862, 61.45326469787025, 65.52022167362546, 49.99814969454273, 56.09655064936818]",39.208748389220936,2034.0,30.321925740323948,53.56607720438293,136.82550177878483,314.7021372097296,425.43349279856665,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,14.71268827959908,3.430359074768921,0.0,1.0756902509693553,4.932783212772753,"[91.10639861097397, 143.1481515027043, 55.35237528989727, 122.04706837397534, 102.51161083522405, 142.77922323097982, 92.67035406370759, 111.29621648472576, 99.60923558314566, 95.0175044008978, 78.84544799261833, 79.31280137044493, 90.2987740142509, 54.29369350528014, 72.99479988515905]","[39, 60, 29, 58, 49, 70, 55, 54, 51, 41, 37, 36, 35, 32, 33]",2034.0,"[30.681215988139375, 30.026332661257612, 57.64734549674816, 42.124330822788195, 55.781582931331215, 72.73956082395718, 57.27645945570449, 54.51238979201925, 54.6448460677304, 46.833509479050655, 46.17266495364645, 36.1943684235886]","[12, 13, 24, 24, 30, 29, 29, 24, 25, 22, 23, 19]",2037.0,"[4.413440166027533, 6.144595788924588, 7.227039550886753, 12.904414635100474, 11.420086759734954, 15.36445956889243, 15.311022799572077, 11.667634320082348, 16.50114342884773, 15.862569462859756]","[2, 3, 4, 5, 5, 7, 8, 7, 8, 7]",2039.0
4,False,6.893501378250388,5.464571862745749,False,0.0,1,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987]",[],[],[],[],"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987]",-4.517908728033855,,,,,,,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,0.0,0.0,0.0,0.0,,,,,,,,,,
5,True,21.60618965784947,9.970621188484024,True,93.11170255959122,1,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0]","[123.5627844153689, 104.55113101924253, 86.83065683011532, 125.069557589938, 139.0954446123162, 135.83730607629082, 179.81624630937137, 156.1317256229, 187.33746861513697, 162.36050809982973, 159.259840769098, 151.6292106368641, 126.07422580823176, 140.6491356350425, 117.1955588680617]","[48, 43, 47, 60, 84, 82, 81, 82, 93, 73, 72, 65, 65, 62, 58]","[163.43561968028658, 57.84757717024168, 48.06127577351554, 67.10071830023787, 70.95744124633178, 84.0295866446751, 92.56635537599111, 98.29614215102623, 102.08462571380164, 96.28016783267337, 100.61571198859541, 91.34195367495309, 65.32846836033518, 76.70864664605614, 67.71852439280288]","[129.1141395474264, 45.69958596449092, 37.968407861077274, 53.00956745718792, 56.05637858460211, 66.38337344929333, 73.12742074703297, 77.65395229931073, 80.6468543139033, 76.06133258781196, 79.48641247099037, 72.16014340321294, 51.60949000466479, 60.59983085038435, 53.49763427031427]","[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0, 129.1141395474264, 45.69958596449092, 37.968407861077274, 53.00956745718792, 56.05637858460211, 66.38337344929333, 73.12742074703297, 77.65395229931073, 80.6468543139033, 76.06133258781196, 79.48641247099037, 72.16014340321294, 51.60949000466479, 60.59983085038435, 53.49763427031427]",35.882881982853746,2034.0,27.603538390979303,49.043499772989186,126.2629178807512,292.7666256011537,395.77973384191654,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,14.71268827959908,3.430359074768921,0.0,1.0756902509693553,4.932783212772753,"[123.5627844153689, 104.55113101924253, 86.83065683011532, 89.16379415154822, 99.03891763679317, 102.27176675137294, 129.19025178003517, 99.91296348642865, 119.40507741782675, 90.0320622078003, 87.53158271489397, 71.42790124354138, 62.06302337679591, 80.5289727713091, 62.4728478233651]","[48, 43, 47, 43, 61, 66, 57, 51, 55, 39, 41, 33, 34, 33, 33]",2034.0,"[35.90576343838979, 40.05652697552301, 28.348057290721144, 46.36636484526007, 48.53385140303005, 54.68298099955129, 63.50616835506579, 57.94642461276551, 63.33672522961474, 45.84288807607745, 43.103758972405224, 38.20427211511017]","[17, 23, 14, 22, 27, 32, 29, 25, 24, 22, 21, 18]",2037.0,"[5.217482034196726, 4.25962968407612, 7.68491073344132, 13.249410197758952, 8.822277536963638, 13.781833441438486, 16.86458416370798, 18.16831435535839, 17.016403891328196, 16.518438929586427]","[2, 2, 4, 6, 5, 6, 8, 9, 8, 7]",2039.0
6,False,6.893501378250388,5.464571862745749,False,0.0,1,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987]",[],[],[],[],"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987]",-4.517908728033855,,,,,,,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,0.0,0.0,0.0,0.0,,,,,,,,,,
7,False,1.8750568067584572,1.900621725126741,False,0.0,1,"[-0.9865491812335361, -0.8885076255249211]",[],[],[],[],"[-0.9865491812335361, -0.8885076255249211]",-1.7269722025043037,,,,,,,1.8750568067584572,1.900621725126741,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
8,False,1.8750568067584572,1.900621725126741,False,0.0,1,"[-0.9865491812335361, -0.8885076255249211]",[],[],[],[],"[-0.9865491812335361, -0.8885076255249211]",-1.7269722025043037,,,,,,,1.8750568067584572,1.900621725126741,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
9,True,21.60618965784947,9.970621188484024,True,108.45174023294025,1,"[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0]","[63.37933006767416, 92.73103310367011, 132.98474920974385, 127.71894071530129, 260.5056565705732, 190.9293108564432, 159.57144637213932, 198.520910095419, 161.55144820043944, 144.62861632492763, 165.46413708286792, 164.97445111601093, 141.52943639614224, 135.3130536546141, 117.55834114004529]","[33, 38, 55, 66, 100, 83, 79, 86, 81, 73, 78, 70, 65, 62, 59]","[151.052442392699, 47.024476567174226, 76.78411907624144, 73.71882152648871, 152.90811463938488, 99.90276729801394, 77.26825195515968, 98.9830664171732, 94.84440302871654, 82.19688509942019, 87.18438898564013, 79.51278371758096, 72.90383240480861, 77.60346423835898, 69.73495546713596]","[119.33142949023221, 37.14933648806764, 60.65945407023074, 58.237869005926086, 120.79741056511406, 78.92318616543102, 61.04191904457615, 78.19662246956683, 74.92707839268607, 64.93553922854196, 68.8756672986557, 62.81509913688896, 57.59402759979881, 61.30673674830359, 55.09061481903741]","[-0.9865491812335361, -0.8885076255249211, -1.408113014410644, -1.408113014410644, -1.408113014410644, -0.7941055282599987, -4.288964495820359, -4.288964495820359, -4.288964495820359, -1.8457947921380014, -0.0, -0.0, 119.33142949023221, 37.14933648806764, 60.65945407023074, 58.237869005926086, 120.79741056511406, 78.92318616543102, 61.04191904457615, 78.19662246956683, 74.92707839268607, 64.93553922854196, 68.8756672986557, 62.81509913688896, 57.59402759979881, 61.30673674830359, 55.09061481903741]",39.09548528358728,2034.0,30.22935046643063,53.412059843863666,136.465790681094,313.9551185791273,424.4236275716555,1.8750568067584572,1.900621725126741,5.018444571491931,3.563950137619008,14.71268827959908,3.430359074768921,0.0,1.0756902509693553,4.932783212772753,"[63.37933006767416, 92.73103310367011, 132.98474920974385, 84.90389323800797, 232.65412759336252, 149.6112013802394, 109.47584860037948, 120.59658934405877, 98.99806167235926, 74.16939726692299, 92.76077825522714, 91.15396112863209, 74.9324888203109, 75.30004023469051, 73.13160173918982]","[33, 38, 55, 46, 86, 62, 55, 48, 51, 41, 43, 36, 34, 32, 33]",2034.0,"[42.81504747729332, 27.8515289772107, 39.737727522982865, 45.96853719761272, 67.16330518858165, 55.16875589282242, 59.29354826384805, 53.825757578265005, 58.422391404418235, 44.5728120802224, 45.904061475368266, 29.83308248553824]","[20, 14, 20, 22, 33, 26, 27, 27, 26, 22, 23, 19]",2037.0,"[1.5803819532209422, 4.12706057414713, 10.761015562778578, 7.384630635257755, 11.16567079415659, 18.877601249375786, 15.398098582960586, 22.02413549560895, 14.108951944555308, 14.59365691531723]","[1, 2, 5, 4, 5, 8, 8, 9, 7, 7]",2039.0
