iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,False,2.231110419353279,2.763996512946945,False,0.0,1,"[-0.8072044985955831, -0.8072044985955831, -0.6167014221621127]",[],[],[],[],"[-0.8072044985955831, -0.8072044985955831, -0.6167014221621127]",-1.9081397905933695,,,,,,,2.231110419353279,2.763996512946945,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,True,28.528541698361288,9.553824606575988,False,0.0,0,"[-1.0242996023314341, -1.0242996023314341, -0.7480919747542015, -2.801860183333708, -2.801860183333708, -2.2841393118910336, -5.043380326544912, -5.043380326544912, -4.715177676603182, -2.834210757534048, -0.2078417531587163]","[66.62646146178986, 163.20210293226262, 138.64338799916877, 135.6924603014455, 143.48544290396276, 231.23749905769725, 229.9080658777877, 217.5964200958101, 194.96302917386853, 154.50436732924962, 163.89646185469772, 190.2934482660548, 135.46330878097476, 159.6504859459031, 117.62613974456514]","[30, 64, 60, 60, 69, 102, 87, 99, 77, 66, 70, 74, 63, 62, 58]","[36.029635191268625, 91.37436939957018, 73.753260646152, 72.7179170860559, 78.04686252840423, 131.41907523418274, 132.22828506672792, 118.71179467757759, 110.81765564750583, 91.56317817837439, 104.80846750694508, 106.32998802750441, 75.73470557348818, 80.12634816154369, 64.74812946922478]","[28.463411801102215, 72.18575182566045, 58.265075910460084, 57.447154497984165, 61.657021397439344, 103.82106943500438, 104.46034520271506, 93.78231779528629, 87.5459479615296, 72.33491076091576, 82.79868933048661, 84.00069054172849, 59.83041740305566, 63.29981504761952, 51.15102228068758]","[-1.0242996023314341, -1.0242996023314341, -0.7480919747542015, -2.801860183333708, -2.801860183333708, -2.2841393118910336, -5.043380326544912, -5.043380326544912, -4.715177676603182, -2.834210757534048, -0.2078417531587163, 28.463411801102215, 72.18575182566045, 58.265075910460084, 57.447154497984165, 61.657021397439344, 103.82106943500438, 104.46034520271506, 93.78231779528629, 87.5459479615296, 72.33491076091576, 82.79868933048661, 84.00069054172849, 59.83041740305566, 63.29981504761952, 51.15102228068758]",38.81527163968647,2034.0,25.62381350475046,55.005354772778496,128.14532318857758,271.22160121300584,370.60699178964506,2.79669117941707,2.730344884496148,7.887859678558449,2.815222445958499,14.801938329693005,2.934924073004311,3.0420525106927645,1.0733332031170302,0.0,"[66.62646146178986, 163.20210293226262, 138.64338799916877, 111.51717412693588, 112.52040210539421, 186.5971093891171, 175.17841603112527, 108.59251771794261, 113.35926024231838, 92.43581341620292, 84.67533950011884, 96.49510530163695, 65.42225596433076, 75.45146931196237, 63.10146027761395]","[30, 64, 60, 49, 57, 83, 63, 55, 44, 36, 36, 34, 32, 30, 35]",2034.0,"[24.17528617450962, 30.96504079856854, 35.33580432160801, 46.31325277486292, 98.72281348946413, 68.37499212962149, 52.42983937783795, 65.8143510822662, 75.67048412465508, 45.750690499841724, 66.99117213618806, 38.79906529274344]","[11, 12, 15, 21, 40, 27, 25, 27, 29, 21, 24, 16]",2037.0,"[9.304585346972145, 8.416397071799505, 10.281088888403328, 13.228776801928662, 9.638714535208756, 13.406771272312692, 18.127858839762787, 24.290362316802266, 17.207844497752685, 15.725614174207754]","[4, 3, 4, 6, 5, 7, 11, 10, 8, 7]",2039.0
2,True,17.77784470880808,9.70811842006635,True,115.56999467516647,1,"[-1.3878478869272475, -0.4247938124430418, -1.1971439657153038, -1.1971439657153038, -1.1971439657153038, -0.7565447989042866, -3.3032997876121706, -3.3032997876121706, -3.3032997876121706, -1.6642386142490864, -0.03402780584748909, -0.009060530454506954]","[71.13225457923413, 69.70923969993167, 176.60552804622307, 210.15746963739937, 222.79203432257356, 147.42006779343455, 199.67473806018256, 261.5305072462786, 161.9922715099222, 220.22382327914724, 174.8662153713469, 163.14458917832832, 126.34298125908522, 143.54214875939067, 133.90334402135983]","[31, 33, 76, 86, 96, 71, 87, 115, 75, 90, 72, 69, 51, 66, 58]","[155.6522829528641, 34.76638453811094, 95.28412519056955, 118.35902935907507, 121.07866209451365, 86.73535297610793, 105.46822870601653, 134.1901129582658, 90.23168924179369, 107.19814302946236, 109.18449773629203, 84.27699957791272, 75.8835272001569, 79.87025477821484, 83.17717024433537]","[122.96530353276265, 27.465443785107645, 75.27445890054994, 93.5036331936693, 95.65214305466579, 68.52092885112526, 83.31990067775305, 106.01018923702998, 71.28303450101701, 84.68653299327526, 86.25575321167071, 66.57882966655104, 59.94798648812396, 63.09750127478973, 65.70996449302494]","[-1.3878478869272475, -0.4247938124430418, -1.1971439657153038, -1.1971439657153038, -1.1971439657153038, -0.7565447989042866, -3.3032997876121706, -3.3032997876121706, -3.3032997876121706, -1.6642386142490864, -0.03402780584748909, -0.009060530454506954, 122.96530353276265, 27.465443785107645, 75.27445890054994, 93.5036331936693, 95.65214305466579, 68.52092885112526, 83.31990067775305, 106.01018923702998, 71.28303450101701, 84.68653299327526, 86.25575321167071, 66.57882966655104, 59.94798648812396, 63.09750127478973, 65.70996449302494]",43.98415899835851,2034.0,35.93879397196069,56.354897523205175,143.54179365338314,326.4750622181526,457.0140277285992,1.8126416993702894,1.3060809591918268,4.347976696050198,3.6319580773664466,11.574137977085599,3.5038109530628163,0.043088336301996044,1.2662684304452598,3.980528668283949,"[71.13225457923413, 69.70923969993167, 176.60552804622307, 175.81134341380363, 180.17624629012502, 93.07740642636072, 124.4493749245817, 156.13927216654298, 95.44408728738449, 102.54579365452419, 96.3711788798146, 98.86397447441605, 77.2361353592555, 78.07983637494526, 68.40587343800878]","[31, 33, 76, 73, 74, 46, 52, 74, 44, 43, 35, 36, 28, 35, 33]",2034.0,"[34.346126223595746, 42.615788032448535, 46.34823357350918, 68.85037341224532, 95.81890463320592, 50.95773688723354, 97.28230078581696, 62.35539700745408, 45.46229352672563, 34.32248439022291, 49.54390411274923, 53.1046439771081]","[13, 22, 22, 32, 37, 25, 39, 31, 24, 17, 24, 19]",2037.0,"[7.994427793564667, 6.374989723355549, 9.572330446529692, 15.590447335304193, 20.395728838806104, 16.13963948407823, 18.81832117718666, 14.784361509606807, 15.918408271696169, 12.392826606242934]","[3, 3, 4, 6, 8, 6, 9, 6, 7, 6]",2039.0
3,True,21.70624797538882,11.516851400378394,True,91.94512027398731,1,"[-0.8329972225635967, -0.8329972225635967, -0.4955927501691048, -1.3934064975122633, -1.3934064975122633, -1.3934064975122633, -1.3934064975122633, -0.732780903493615, -3.757075540510187, -3.757075540510187, -3.757075540510187, -1.341304205450806, -0.6022353237514125, -0.02348773581707516]","[101.95253786357291, 147.83796663008496, 136.67507785157943, 97.54115377675964, 164.78889590697355, 234.96828488763782, 214.19683935585672, 214.4637480764834, 176.36881766264565, 181.8593910095138, 196.0706649759875, 152.4341429424974, 149.75221268572182, 149.2762057522976, 117.8155526892246]","[41, 67, 59, 45, 75, 99, 87, 92, 81, 77, 88, 68, 57, 63, 56]","[152.7841352154065, 89.96468745987157, 81.21429193610538, 57.079951407735834, 99.40745738398675, 140.3634247325708, 100.35555919840219, 132.46337869331032, 101.98689390228179, 92.3332303403543, 118.61908686331695, 76.61569888361808, 86.73917244641419, 72.12598388334992, 60.315810478299724]","[120.69946682017114, 71.07210309329854, 64.15929062952326, 45.09316161211131, 78.53189133334953, 110.88710553873094, 79.28089176673774, 104.64606916771515, 80.56964618280261, 72.9432519688799, 93.7090786220204, 60.526402118058286, 68.52394623266721, 56.979527267846436, 47.649490277856785]","[-0.8329972225635967, -0.8329972225635967, -0.4955927501691048, -1.3934064975122633, -1.3934064975122633, -1.3934064975122633, -1.3934064975122633, -0.732780903493615, -3.757075540510187, -3.757075540510187, -3.757075540510187, -1.341304205450806, -0.6022353237514125, -0.02348773581707516, 120.69946682017114, 71.07210309329854, 64.15929062952326, 45.09316161211131, 78.53189133334953, 110.88710553873094, 79.28089176673774, 104.64606916771515, 80.56964618280261, 72.9432519688799, 93.7090786220204, 60.526402118058286, 68.52394623266721, 56.979527267846436, 47.649490277856785]",28.916218389108227,2036.0,23.9638218134742,49.33051473376497,154.85134576995355,343.1552669312548,461.645638145235,2.161587195296298,2.5949512636355374,6.306406893542668,4.525891694061923,12.612530826981368,3.3570075158160555,0.6257230595684877,1.0390009268648783,4.729734430131009,"[101.95253786357291, 147.83796663008496, 136.67507785157943, 74.7345175336408, 139.74322902353117, 190.36234455858195, 154.13239830412664, 132.14542593049276, 100.56435351938683, 94.08011287873255, 88.49693127016981, 72.09658176968476, 82.23946759621093, 74.09377622563076, 73.26366739144835]","[41, 67, 59, 36, 66, 79, 60, 50, 43, 43, 42, 35, 29, 34, 34]",2036.0,"[22.806636243118845, 25.045666883442376, 37.45032326559043, 47.55974552957675, 73.96640494787111, 66.26446015626856, 75.41789882478209, 91.3041396447382, 65.04354766245922, 44.035437964797694, 56.08513894597291, 31.595767816183876]","[9, 9, 17, 22, 38, 34, 29, 39, 25, 20, 20, 16]",2039.0,"[7.155617063465447, 12.50469552215333, 8.351917198119517, 9.54000398699026, 12.361379305999176, 16.269594061079516, 15.294013510353427, 23.477307124713192, 19.09729058069393, 12.956117481592365]","[3, 5, 4, 4, 5, 7, 8, 8, 9, 6]",2041.0
4,True,21.466555835300213,9.232060336981927,False,0.0,1,"[-1.1959475492065583, -0.4949038430916297, -2.5377800281655403, -2.5377800281655403, -1.2449653772660993, -3.0776454331421927, -3.0776454331421927, -3.0776454331421927, -2.934731773465134, -0.9369805152414518, -0.35053042127167583]","[44.04750749308046, 90.86778828151621, 154.83070630884777, 270.93952090636185, 205.84792194977868, 205.53696391519617, 284.1333041313665, 198.95230909189132, 234.67650080175147, 192.36856574580366, 138.33283120204308, 186.92421900964885, 148.10631473906437, 140.8516853656739, 144.29754254542271]","[20, 39, 63, 102, 79, 73, 107, 84, 98, 80, 55, 74, 61, 58, 62]","[31.738456947783362, 53.21254491135642, 87.75761036463962, 157.39034579979315, 126.44533371802707, 108.28857136750827, 153.73539843095404, 107.20607191124544, 117.42280388040737, 109.03052254168642, 88.96345199419156, 114.88481540490756, 77.66403131979419, 81.13978372410864, 77.24792893567854]","[25.073380988748855, 42.03791047997157, 69.3285121880653, 124.3383731818366, 99.89181363724138, 85.54797138033153, 121.45096476045369, 84.6927968098839, 92.76401506552182, 86.13411280793227, 70.28112707541133, 90.75900416987697, 61.354584742637414, 64.10042914204583, 61.025863859186046]","[-1.1959475492065583, -0.4949038430916297, -2.5377800281655403, -2.5377800281655403, -1.2449653772660993, -3.0776454331421927, -3.0776454331421927, -3.0776454331421927, -2.934731773465134, -0.9369805152414518, -0.35053042127167583, 25.073380988748855, 42.03791047997157, 69.3285121880653, 124.3383731818366, 99.89181363724138, 85.54797138033153, 121.45096476045369, 84.6927968098839, 92.76401506552182, 86.13411280793227, 70.28112707541133, 90.75900416987697, 61.354584742637414, 64.10042914204583, 61.025863859186046]",45.226659148087634,2034.0,32.441216234755636,51.9626739099141,111.92733773885269,283.50447284471227,406.5263582001039,1.690851392298188,1.4138173479430345,6.320525433597179,2.4905726120660012,12.167668072891713,3.9535639621971828,1.2875109365131276,1.3741064147757087,4.622048376622223,"[44.04750749308046, 90.86778828151621, 154.83070630884777, 222.21079010333895, 169.12459986092762, 172.0875500126874, 191.84284665129366, 127.90378167176146, 115.16375583244522, 114.32276246718047, 85.43016111505653, 87.11937664365341, 93.28562324292588, 83.39484427584013, 85.15548027026944]","[20, 39, 63, 81, 65, 58, 66, 55, 48, 47, 33, 36, 35, 31, 33]",2034.0,"[48.72873080302293, 36.72332208885106, 31.118176024220812, 80.91783064174024, 55.0339606669241, 112.50618840165359, 60.983513058109594, 35.51563167061119, 80.57594409545848, 37.41510796634193, 41.87784539404586, 45.32694851836224]","[21, 14, 14, 36, 23, 47, 26, 16, 29, 19, 20, 22]",2037.0,"[2.3312378782879577, 11.372626838332636, 16.01456675320577, 7.006556567652659, 17.062290220513596, 17.38703841637535, 19.228898270536977, 17.405583529796573, 15.578995695787885, 13.815113756791058]","[1, 5, 6, 3, 7, 6, 9, 7, 7, 7]",2039.0
5,False,5.646647226903195,4.772491813793025,False,0.0,1,"[-0.7527440152864894, -0.7527440152864894, -0.28431563455199604, -1.61051685926343, -1.61051685926343, -0.6358098432513599]",[],[],[],[],"[-0.7527440152864894, -0.7527440152864894, -0.28431563455199604, -1.61051685926343, -1.61051685926343, -0.6358098432513599]",-3.5416786210890905,,,,,,,1.789803665124975,2.3777056061266557,3.85684356177822,2.3947862076663684,0.0,0.0,0.0,0.0,,,,,,,,,,
6,True,24.153219439783264,11.975436099552226,True,108.22724333414159,1,"[-0.5222344035345016, -0.5222344035345016, -0.33868521992479417, -1.2686334215947794, -1.2686334215947794, -1.2686334215947794, -1.2686334215947794, -0.5218515296575638, -3.9202880082303935, -3.9202880082303935, -3.9202880082303935, -3.864160804178786, -1.5486553678828185]","[89.98374010487638, 168.25536231974314, 105.21672207418932, 164.58964684068792, 159.16342740703345, 218.0193754093206, 259.1413264755138, 177.2521037181106, 190.4928622531613, 194.11311703607004, 164.54679034123774, 156.03983048084726, 171.04077805234942, 162.931740748994, 148.30112566823595]","[37, 65, 38, 65, 78, 97, 117, 77, 77, 88, 79, 62, 66, 64, 61]","[165.61267433634657, 95.14980799874415, 61.63508510278787, 100.12586459056789, 91.91507071770715, 125.51384548106726, 131.98450658122297, 106.92628470689445, 95.10419448518317, 109.50098269380524, 89.9309401462964, 86.50915337725579, 92.97083296388053, 81.75110981143314, 84.8059702541747]","[130.8340127257138, 75.16834831900788, 48.69171723120242, 79.09943302654864, 72.61290586698865, 99.15593793004314, 104.26776019916615, 84.47176491844661, 75.13231364329471, 86.50577632810614, 71.04544271557415, 68.34223116803207, 73.44695804146562, 64.58337675103218, 66.99671650079802]","[-0.5222344035345016, -0.5222344035345016, -0.33868521992479417, -1.2686334215947794, -1.2686334215947794, -1.2686334215947794, -1.2686334215947794, -0.5218515296575638, -3.9202880082303935, -3.9202880082303935, -3.9202880082303935, -3.864160804178786, -1.5486553678828185, 130.8340127257138, 75.16834831900788, 48.69171723120242, 79.09943302654864, 72.61290586698865, 99.15593793004314, 104.26776019916615, 84.47176491844661, 75.13231364329471, 86.50577632810614, 71.04544271557415, 68.34223116803207, 73.44695804146562, 64.58337675103218, 66.99671650079802]",38.32251395447896,2036.0,23.128472245443245,46.73768405383522,142.64836247997866,363.7112420774013,480.8260320831318,1.3831540269937972,2.648531038232181,5.596385216036682,4.41134934708054,15.625024828869966,3.985682887600663,1.5486553678828185,0.929872826638843,5.305352511226662,"[89.98374010487638, 168.25536231974314, 105.21672207418932, 118.16264793337668, 122.71578996934242, 149.94727642409686, 197.02496317891354, 99.02626284525152, 102.9593789462917, 92.26703679966089, 84.45578720160418, 75.68646359428121, 84.47622689385057, 104.94768243957492, 102.3523525016088]","[37, 65, 38, 49, 63, 67, 86, 48, 41, 38, 38, 30, 32, 37, 40]",2036.0,"[46.42699890731126, 36.44763743769102, 63.57931353827947, 48.89026767702465, 68.99714390067531, 76.3509262338052, 81.54642657818843, 66.37640057163378, 52.63483604358867, 71.78941891407263, 45.132751281349414, 29.3508099918567]","[16, 15, 28, 26, 25, 31, 42, 34, 21, 27, 21, 13]",2039.0,"[4.492785446944265, 13.226095619575556, 9.22869697218377, 11.18255707306439, 20.299653658220723, 13.714602567999773, 27.71853084297738, 14.775132244426246, 12.851307028069659, 16.59796317477045]","[2, 5, 4, 5, 8, 7, 11, 7, 6, 8]",2041.0
7,True,20.88281655377856,9.731861793558709,True,99.91884991512593,1,"[-0.9616005343997508, -0.5383010112461447, -1.7698821987497586, -1.7698821987497586, -1.7698821987497586, -0.7677558505622595, -3.307933598442269, -3.307933598442269, -3.307933598442269, -2.4474312234274533, -0.9342805425668699]","[67.31044827413365, 133.46646735415456, 114.69212982004396, 192.76389070114487, 159.6318982041738, 192.88372811540614, 195.18411332671732, 207.36792476648685, 177.45077555896964, 169.42404169325155, 196.8899603386851, 162.7845151137738, 192.13579763367926, 136.7528652775987, 122.27736282694714]","[27, 51, 57, 84, 67, 75, 96, 78, 84, 78, 82, 69, 78, 62, 55]","[143.83310201708412, 71.88105196987456, 60.10254272725549, 106.15709665274088, 94.55072546909827, 100.04426387599437, 97.90952324691912, 113.08799848372912, 83.84928227397631, 102.03647573172563, 111.2902770265462, 93.726958163077, 93.94784623540241, 75.28809819311141, 65.845069150991]","[113.62815059349646, 56.786031056200905, 47.481008754531835, 83.86410635566529, 74.69507312058764, 79.03496846203555, 77.34852336506611, 89.339518802146, 66.24093299644129, 80.60881582806326, 87.91931885097151, 74.04429694883083, 74.21879852596791, 59.47759757255801, 52.017604629282886]","[-0.9616005343997508, -0.5383010112461447, -1.7698821987497586, -1.7698821987497586, -1.7698821987497586, -0.7677558505622595, -3.307933598442269, -3.307933598442269, -3.307933598442269, -2.4474312234274533, -0.9342805425668699, 113.62815059349646, 56.786031056200905, 47.481008754531835, 83.86410635566529, 74.69507312058764, 79.03496846203555, 77.34852336506611, 89.339518802146, 66.24093299644129, 80.60881582806326, 87.91931885097151, 74.04429694883083, 74.21879852596791, 59.47759757255801, 52.017604629282886]",50.18751994583051,2034.0,32.59922346689125,53.31273619167024,135.45411316271904,324.8132440510979,434.20402747963516,1.4999015456458955,1.5597969135719776,6.0774024468115355,3.433789238122515,12.37123201875426,3.7398670954519666,0.9342805425668699,0.9984085464122494,4.612158616391449,"[67.31044827413365, 133.46646735415456, 114.69212982004396, 154.2925791952622, 140.70574310140046, 154.86026982480354, 133.50928243481147, 119.40608507839052, 86.27175851498001, 104.79613762180091, 95.4268423587146, 87.8206228582614, 90.81402599243107, 64.4241355756948, 60.86481506603935]","[27, 51, 57, 68, 58, 58, 67, 47, 42, 46, 41, 32, 40, 26, 33]",2034.0,"[38.471311505882674, 18.926155102773357, 35.436327266747995, 56.653906870681986, 77.95239123283262, 80.24515644744925, 52.30682632581033, 81.55778665753071, 54.270027847772205, 81.29566960588156, 49.144777132322915, 44.22437994658746]","[16, 9, 16, 27, 26, 38, 26, 31, 27, 29, 27, 15]",2037.0,"[2.587131023854615, 5.02092402122386, 10.009448455263714, 10.933860596540374, 12.32107774564032, 19.90533132243979, 20.693864407740193, 20.026102035366645, 23.183952569580978, 17.18816781432032]","[1, 2, 5, 4, 6, 10, 10, 9, 9, 7]",2039.0
8,True,23.557103882579547,10.636655363606978,False,0.0,1,"[-1.4474296699962244, -0.6527590273067324, -0.8408829994419224, -0.8408829994419224, -0.8408829994419224, -0.8408829994419224, -0.012314258291176595, -4.3784443060603175, -4.3784443060603175, -4.3784443060603175, -3.601312001652588, -0.996960109660275, -0.3474638997239091]","[72.04793082408925, 108.12173595409232, 142.90935523476986, 189.16334388923025, 250.2800125437217, 198.06653071106334, 218.13440980964845, 215.41033841029068, 209.16889011606926, 144.95981463435524, 143.67661867425426, 187.25341600270053, 150.20482145106178, 151.8028179459286, 149.23459281188494]","[33, 45, 66, 75, 95, 82, 96, 97, 85, 70, 57, 79, 62, 63, 55]","[43.98559180827625, 59.81021153328868, 76.80925758821067, 106.1779532264745, 121.42311715391135, 105.81672026049111, 116.16205887190308, 116.85155476621836, 108.97692200027882, 70.59772627343159, 82.93079659137958, 100.97386977556567, 80.32547874318603, 78.10635983001825, 84.53327540936988]","[34.74861752853823, 47.25006711129806, 60.679313494686426, 83.88058304891486, 95.92426255158996, 83.59520900578798, 91.76802650880344, 92.3127282653125, 86.09176838022026, 55.77220375601095, 65.51532930718986, 79.76935712269689, 63.45712820711696, 61.704024265714416, 66.78128757340221]","[-1.4474296699962244, -0.6527590273067324, -0.8408829994419224, -0.8408829994419224, -0.8408829994419224, -0.8408829994419224, -0.012314258291176595, -4.3784443060603175, -4.3784443060603175, -4.3784443060603175, -3.601312001652588, -0.996960109660275, -0.3474638997239091, 34.74861752853823, 47.25006711129806, 60.679313494686426, 83.88058304891486, 95.92426255158996, 83.59520900578798, 91.76802650880344, 92.3127282653125, 86.09176838022026, 55.77220375601095, 65.51532930718986, 79.76935712269689, 63.45712820711696, 61.704024265714416, 66.78128757340221]",27.05829094964252,2035.0,21.388185237544224,36.00180518305485,99.8436632851632,260.04814148216394,371.38852654071286,2.100188697302957,1.450978061896738,3.375846256058866,4.014644437215819,16.73664491983354,3.8225094919371063,1.3444240093841842,1.3485233725573145,5.028122793973102,"[72.04793082408925, 108.12173595409232, 142.90935523476986, 163.49515995749215, 228.64507204219657, 132.65579344271072, 119.81732400831915, 138.199677342025, 118.13092277859658, 89.94368714826062, 70.78182400703811, 89.82268292186707, 76.19706636598045, 81.89717117803765, 92.18613005500785]","[33, 45, 66, 61, 84, 56, 57, 64, 48, 43, 28, 39, 28, 35, 32]",2035.0,"[25.668183931738113, 21.634940501525126, 60.5723849328667, 90.24528920467353, 65.0955582874804, 77.05922922512457, 44.58864391955575, 47.567139019784875, 79.44552024549708, 52.607441249454425, 44.380764537533835, 45.53009364737689]","[14, 11, 24, 36, 28, 30, 22, 19, 32, 26, 18, 18]",2038.0,"[4.838352335485934, 8.071796596655755, 12.115102780785268, 13.978738112348113, 10.427483566538893, 25.327655647431264, 17.985212835336377, 21.400313835626886, 25.52488223035713, 11.518369109500172]","[2, 3, 5, 7, 5, 10, 8, 8, 10, 5]",2040.0
9,True,22.92796996076809,9.601281654431627,False,0.0,1,"[-1.1604836891547654, -1.0374350737096905, -1.386552951958997, -1.386552951958997, -1.386552951958997, -0.7269211833852791, -4.669364831114378, -4.669364831114378, -4.669364831114378, -1.8353766652982277, -0.0]","[126.95779056811841, 103.66951523372418, 112.43699970792696, 175.0859366491607, 171.95198832188203, 210.19772525104528, 210.67173081437033, 197.88439380884475, 166.62018690529413, 166.0515898307733, 143.59782505581512, 134.5664420207443, 152.53126390298706, 139.74005195444974, 140.20173375597298]","[51, 48, 53, 84, 69, 90, 96, 95, 78, 72, 61, 57, 64, 62, 62]","[69.46630911708345, 54.04849426212486, 55.70238426928698, 100.38461503692227, 92.4303041317695, 113.80265405134776, 120.5901724003979, 103.68984784799163, 89.5093477467554, 83.83230124887388, 82.00005729382221, 74.12809532194905, 92.34922984160164, 75.86793460259608, 82.80567739115791]","[54.87838420249593, 42.69831046707864, 44.004883572736716, 79.30384587916859, 73.01994026409791, 89.90409670056474, 95.26623619631434, 81.9149797999134, 70.71238471993676, 66.22751798661037, 64.78004526211954, 58.56119530433975, 72.95589157486529, 59.9356683360509, 65.41648513901475]","[-1.1604836891547654, -1.0374350737096905, -1.386552951958997, -1.386552951958997, -1.386552951958997, -0.7269211833852791, -4.669364831114378, -4.669364831114378, -4.669364831114378, -1.8353766652982277, -0.0, 54.87838420249593, 42.69831046707864, 44.004883572736716, 79.30384587916859, 73.01994026409791, 89.90409670056474, 95.26623619631434, 81.9149797999134, 70.71238471993676, 66.22751798661037, 64.78004526211954, 58.56119530433975, 72.95589157486529, 59.9356683360509, 65.41648513901475]",39.328333764612154,2034.0,26.00320016025684,46.8612799119372,119.98701130180643,280.1702806393609,359.5267785581773,2.1979187628644556,1.893967819974534,4.88658003926227,3.524265000019109,15.84347115864136,3.393067736551269,0.0,0.7899810978867162,5.182512799475908,"[126.95779056811841, 103.66951523372418, 112.43699970792696, 140.0813193720427, 124.35665834110131, 159.83591580954032, 148.63547757006916, 103.62471141933939, 76.9357703053072, 93.07548644282276, 74.9041084022693, 68.41912497435428, 63.34731727661159, 77.31925212804282, 80.47002247272914]","[51, 48, 53, 71, 51, 69, 65, 57, 37, 37, 34, 29, 30, 35, 32]",2034.0,"[35.00461727711798, 47.59532998078072, 45.910868118847404, 54.95413868553969, 84.60288502253619, 78.57441866838988, 60.61208802844619, 47.3370630908556, 43.318852158863095, 63.75997458214766, 47.99374171740251, 44.35989224114157]","[13, 18, 19, 28, 34, 36, 30, 19, 18, 24, 20, 23]",2037.0,"[4.450941322657533, 7.082114558761486, 9.656797366969197, 11.109997931597045, 12.36401535950436, 21.35665356269022, 22.828464887526923, 25.42397204422782, 14.427058109004403, 15.371819042102247]","[2, 3, 4, 5, 5, 8, 10, 10, 7, 7]",2039.0
