iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,False,6.544114679097814,4.810069963289065,False,0.0,1,"[-1.067377888453001, -0.7839588980289316, -1.5258097957836267, -1.5258097957836267, -1.5258097957836267, -0.11534850526500118]",[],[],[],[],"[-1.067377888453001, -0.7839588980289316, -1.5258097957836267, -1.5258097957836267, -1.5258097957836267, -0.11534850526500118]",-4.44544134660978,,,,,,,1.8513367864819326,1.7344717428662109,4.692777892615881,3.0755982204228545,0.0,0.0,0.0,0.0,,,,,,,,,,
1,True,30.02126189730722,9.259349618928649,True,135.30567258073208,0,"[-1.4797083310088766, -0.7951129653522223, -1.2349405007289114, -1.2349405007289114, -1.2349405007289114, -1.2349405007289114, -0.44160706474259626, -8.11068708940398, -8.11068708940398, -3.035387040602196, -3.108310313877723]","[86.16995011648821, 138.79115960622906, 179.3457082122139, 137.74314979206264, 210.70925244763262, 167.5844928912833, 234.01389497118936, 184.50755081502248, 212.77529306755142, 188.7230618557869, 186.43937645059975, 164.90123543487508, 138.19377413094045, 110.11324498357007, 142.59673146896318]","[35, 60, 67, 60, 81, 76, 84, 79, 94, 85, 83, 67, 62, 55, 59]","[184.49214330107836, 63.938941629758915, 96.68517014409841, 82.08398401739423, 107.38284011162247, 101.61197277817203, 135.25397031130456, 94.51841062396014, 116.17959539238583, 104.14124022184605, 96.96328729443945, 86.84160650792747, 71.97132109037688, 63.463918969455136, 86.01670551122498]","[145.74879320785192, 50.511763887509545, 76.38128441383775, 64.84634737374144, 84.83244368818175, 80.27345849475591, 106.8506365459306, 74.66954439292851, 91.78188035998481, 82.27157977525837, 76.60099696260717, 68.6048691412627, 56.857343661397735, 50.13649598586956, 67.95319735386774]","[-1.4797083310088766, -0.7951129653522223, -1.2349405007289114, -1.2349405007289114, -1.2349405007289114, -1.2349405007289114, -0.44160706474259626, -8.11068708940398, -8.11068708940398, -3.035387040602196, -3.108310313877723, 145.74879320785192, 50.511763887509545, 76.38128441383775, 64.84634737374144, 84.83244368818175, 80.27345849475591, 106.8506365459306, 74.66954439292851, 91.78188035998481, 82.27157977525837, 76.60099696260717, 68.6048691412627, 56.857343661397735, 50.13649598586956, 67.95319735386774]",54.872917081382035,2034.0,39.710842276494326,65.3748852996731,190.98123125437868,360.13422641641563,483.45579877820796,2.274821296361099,1.5373443865184622,5.381369067658242,4.357593798633976,19.256761219410155,2.3742453638197567,3.108310313877723,0.9901660699564532,0.0,"[86.16995011648821, 138.79115960622906, 179.3457082122139, 112.5265807611007, 179.15219127737805, 118.22722025863833, 165.69917257036246, 107.8979725336529, 95.39764377023525, 88.76320724275418, 92.65554370720612, 103.93799502152973, 73.03381074940285, 62.58159902320913, 83.0864976691494]","[35, 60, 67, 48, 70, 57, 59, 46, 47, 41, 42, 39, 32, 33, 33]",2034.0,"[25.21656903096195, 31.557061170254563, 44.12099977996603, 61.73324488280819, 62.75509418991466, 101.05121242638606, 84.5829169776015, 69.29858566761826, 45.28646283915627, 52.806266067607474, 32.57279549740907, 46.81644526124281]","[12, 11, 17, 22, 28, 39, 36, 30, 22, 25, 16, 20]",2037.0,"[5.236272852678947, 6.581477518018703, 13.8544840914549, 16.326436870930106, 15.376937635431233, 24.485247075775373, 15.676777574189057, 12.35369731393013, 14.958850462951878, 12.693788538570963]","[2, 3, 5, 8, 8, 11, 6, 5, 6, 6]",2039.0
2,True,22.406653381061155,8.81788856185739,False,0.0,1,"[-1.2517855537997888, -0.26545142581071907, -1.630095826394362, -1.630095826394362, -0.9840129201124401, -3.8560864426606924, -3.8560864426606924, -3.8560864426606924, -3.8560864426606924, -0.0568180295323227, -1.1640480283743901]","[63.22340355290711, 126.95747738130112, 90.06788445313762, 185.39474743349683, 162.77996165240594, 201.8100487682098, 253.04459865452657, 218.63924274014667, 167.92489051950605, 167.6773889555732, 188.33766460078792, 146.3787343714929, 153.5946892574888, 147.1541395004144, 134.022684866671]","[25, 55, 43, 81, 83, 91, 103, 93, 77, 74, 78, 66, 63, 67, 56]","[35.13250688447184, 66.92526986972831, 52.177092440166575, 94.02088675673431, 100.7904231837989, 108.98193110014984, 130.77622135460416, 134.9536515065795, 104.3156486162974, 89.00034766933618, 96.43155957806366, 77.31459368482814, 94.41936650986133, 69.90819682587951, 77.53314107895191]","[27.754680438732752, 52.870963197085366, 41.2199030277316, 74.27650053782011, 79.62443431520113, 86.09572556911837, 103.31321487013729, 106.61338469019779, 82.40936240687495, 70.31027465877558, 76.1809320666703, 61.078529011014226, 74.59129954279045, 55.22747549244482, 61.25118145237201]","[-1.2517855537997888, -0.26545142581071907, -1.630095826394362, -1.630095826394362, -0.9840129201124401, -3.8560864426606924, -3.8560864426606924, -3.8560864426606924, -3.8560864426606924, -0.0568180295323227, -1.1640480283743901, 27.754680438732752, 52.870963197085366, 41.2199030277316, 74.27650053782011, 79.62443431520113, 86.09572556911837, 103.31321487013729, 106.61338469019779, 82.40936240687495, 70.31027465877558, 76.1809320666703, 61.078529011014226, 74.59129954279045, 55.22747549244482, 61.25118145237201]",38.39151119627073,2033.0,29.89312750971434,46.09208255294875,98.67970622481585,263.7342002740494,352.38992808563717,1.5172369796105079,1.2120582275493934,4.244204572901164,2.6036534197434245,15.481163800175093,4.014734635848339,1.1640480283743901,0.9874422787162345,4.931342093269064,"[63.22340355290711, 126.95747738130112, 90.06788445313762, 150.68481331044538, 139.8964897235607, 123.09515678006386, 173.587647193196, 131.23111495302942, 105.61240400829288, 100.0205284477887, 108.34636402621696, 74.0649004460161, 63.79581898310421, 80.79210825945677, 70.68519462641108]","[25, 55, 43, 63, 74, 58, 67, 55, 48, 42, 46, 37, 26, 35, 29]",2033.0,"[34.70993412305145, 22.88347192884525, 76.42091295245172, 70.44138277109568, 78.98948719485901, 49.81391900406665, 51.1903999232174, 63.70011132512163, 47.49988959267917, 74.63414126808455, 55.48631699183052, 49.702816691322816]","[18, 9, 32, 33, 34, 23, 25, 25, 18, 31, 26, 21]",2036.0,"[2.293979035694234, 9.015568690234886, 8.418640592258251, 12.498567507146504, 16.466460584567102, 16.291189249449335, 24.813944332797625, 15.164729006300044, 10.875714249127126, 13.634673548937114]","[1, 3, 4, 6, 7, 7, 11, 6, 6, 6]",2038.0
3,False,22.23520597669667,8.931189372372106,False,0.0,1,"[-1.2662251997511402, -0.7177908971053722, -2.1338096288087818, -2.1338096288087818, -1.1436470548900064, -3.0734979713978237, -3.0734979713978237, -3.0734979713978237, -3.0734979713978237, -2.5459316817412914]",[],[],[],[],"[-1.2662251997511402, -0.7177908971053722, -2.1338096288087818, -2.1338096288087818, -1.1436470548900064, -3.0734979713978237, -3.0734979713978237, -3.0734979713978237, -3.0734979713978237, -2.5459316817412914]",-9.463018424506695,,,,,,,1.9840160968565126,1.5668745948559897,5.4112663125075695,2.53596489557902,14.839923567332587,4.828349881937096,0.0,0.0,,,,,,,,,,
4,True,19.798652065082134,10.60209276879423,False,0.0,1,"[-0.6081306466461546, -0.6081306466461546, -0.48417575850668515, -0.8438958157296516, -0.8438958157296516, -0.8438958157296516, -0.8218619998950456, -5.245691422273513, -5.245691422273513, -4.253282721652112, -0.0, -0.0]","[86.70073614623543, 88.65305536972356, 132.42190698181415, 177.20935047639958, 226.79595500626112, 269.67842647379865, 163.58105267232784, 196.68373951184589, 218.44862466524245, 151.24715442626388, 201.47805390586942, 165.5058512046959, 112.91991440268718, 157.72994482482392, 119.84025445387137]","[37, 45, 62, 86, 81, 104, 79, 79, 84, 68, 84, 73, 57, 64, 52]","[56.87612927822609, 44.54651487719258, 68.5387793145974, 97.99773080616414, 124.46586015418306, 131.57052684428123, 99.54423665516651, 101.34819727080475, 122.10294055275098, 79.8785675330175, 118.8576655360071, 101.28704368249018, 59.30102424678766, 86.34266858167175, 64.00357552905143]","[44.932142129798606, 35.19174675298214, 54.14563565853195, 77.41820733686967, 98.32802952180462, 103.94071620698217, 78.63994695758154, 80.06507584393574, 96.46132303667328, 63.104068351083825, 93.89755577344562, 80.01676450916725, 46.847809154962256, 68.21070817952068, 50.56282466795063]","[-0.6081306466461546, -0.6081306466461546, -0.48417575850668515, -0.8438958157296516, -0.8438958157296516, -0.8438958157296516, -0.8218619998950456, -5.245691422273513, -5.245691422273513, -4.253282721652112, -0.0, -0.0, 44.932142129798606, 35.19174675298214, 54.14563565853195, 77.41820733686967, 98.32802952180462, 103.94071620698217, 78.63994695758154, 80.06507584393574, 96.46132303667328, 63.104068351083825, 93.89755577344562, 80.01676450916725, 46.847809154962256, 68.21070817952068, 50.56282466795063]",35.10725320097145,2035.0,23.88331508927474,50.11290598235795,134.56283593874778,276.9509849309516,370.6992100336817,1.7004370517989942,2.7961706274415183,3.353549447084,3.9738903601322457,14.744665566199139,2.8108145102840827,0.0,1.021217270936385,4.5245537533207845,"[86.70073614623543, 88.65305536972356, 132.42190698181415, 166.87747524356908, 185.00137764591764, 215.39678025733392, 113.11556387676143, 104.27454889762316, 124.63979638148578, 82.26587611356899, 102.12988566796106, 82.50797363311095, 48.21083552008561, 74.41646338704861, 65.39552234427431]","[37, 45, 62, 81, 62, 78, 55, 43, 46, 33, 38, 40, 27, 30, 32]",2035.0,"[10.331875232830495, 41.79457736034347, 51.75244921125155, 40.00015335412041, 87.50719692105638, 77.3671385494945, 55.740270681134994, 86.14627885392294, 66.90935553640365, 47.95414051653543, 63.013193677182066, 40.043541971553616]","[5, 19, 25, 20, 34, 32, 29, 39, 26, 21, 25, 15]",2038.0,"[2.529197005213198, 10.465335441446003, 4.9019936931663395, 16.441689734262184, 13.241007631559885, 13.201889383985414, 16.088522035181278, 16.754938366066142, 20.300287760593235, 14.401190138043452]","[1, 4, 2, 6, 6, 7, 7, 9, 9, 5]",2040.0
5,False,6.831117501712862,6.1960724351413905,False,0.0,1,"[-0.5998805039425351, -0.5998805039425351, -0.28217130309978633, -1.4357556655691666, -1.4357556655691666, -1.4357556655691666, -1.041918194020507]",[],[],[],[],"[-0.5998805039425351, -0.5998805039425351, -0.28217130309978633, -1.4357556655691666, -1.4357556655691666, -1.4357556655691666, -1.041918194020507]",-3.7449422359895363,,,,,,,1.4819323109848566,2.470379185930031,5.349185190728006,3.7256932492113597,0.0,0.0,0.0,0.0,,,,,,,,,,
6,True,18.376132126572525,9.585702439801869,True,93.00867115774908,1,"[-0.8669399136288087, -0.6795918993495216, -1.582266754188327, -1.582266754188327, -1.582266754188327, -0.2644800215938428, -3.194797903448816, -3.194797903448816, -3.194797903448816, -1.6423121382820707, -0.5279468268144571, -0.06366735399239659]","[61.29696300277256, 100.46158243487807, 67.07182497295832, 138.32807299569203, 193.1734467677115, 209.5076675616349, 205.39116138163968, 195.4659311109999, 239.49811570970036, 156.30333478824895, 152.4150993007742, 198.34847207262473, 152.08584830103734, 124.95366766465618, 151.08149841962307]","[31, 44, 31, 62, 80, 95, 101, 93, 105, 69, 63, 79, 73, 54, 62]","[128.8123652543852, 50.41343889932761, 30.46244748576476, 82.12970662100395, 119.77454108415645, 115.71131796536748, 105.03474814923698, 97.3267897690204, 151.48932706354182, 79.17337035608483, 81.60772927040722, 113.68120642387498, 72.15022314018893, 63.63526662646074, 82.24039465388825]","[101.76176855096432, 39.826616730468814, 24.06533351375416, 64.88246823059312, 94.62188745648359, 91.41194119264031, 82.97745103789721, 76.88816391752611, 119.67656838019803, 62.546962581307014, 64.4701061236217, 89.80815307486124, 56.99867628074925, 50.27186063490399, 64.9699117765717]","[-0.8669399136288087, -0.6795918993495216, -1.582266754188327, -1.582266754188327, -1.582266754188327, -0.2644800215938428, -3.194797903448816, -3.194797903448816, -3.194797903448816, -1.6423121382820707, -0.5279468268144571, -0.06366735399239659, 101.76176855096432, 39.826616730468814, 24.06533351375416, 64.88246823059312, 94.62188745648359, 91.41194119264031, 82.97745103789721, 76.88816391752611, 119.67656838019803, 62.546962581307014, 64.4701061236217, 89.80815307486124, 56.99867628074925, 50.27186063490399, 64.9699117765717]",37.36516366448716,2034.0,31.402630580972662,53.66321252150792,127.47193608119815,292.46722750809664,399.4315528162881,1.5465318129783303,1.7838973482082605,5.011280284158824,3.167152612474321,11.22670584862852,3.5140582246248435,0.5916141808068538,1.1205942544944436,4.059496533196835,"[61.29696300277256, 100.46158243487807, 67.07182497295832, 124.31044483881017, 149.11219378758352, 159.6847738732002, 142.4650093860608, 123.95416509457112, 123.55061467778165, 83.38672970112717, 78.26634290563331, 92.82140383186184, 76.50653925586543, 72.42379476345656, 79.98547926512653]","[31, 44, 31, 56, 61, 74, 69, 62, 58, 38, 33, 34, 39, 32, 34]",2034.0,"[14.017628156881846, 44.06125298012799, 44.222710836624984, 56.63749235796798, 64.76017766724488, 109.54005156792637, 55.20669950252913, 60.678884874980795, 83.50587442605391, 57.09073947826074, 35.894508699635544, 50.09822422305329]","[6, 19, 19, 29, 28, 44, 24, 24, 35, 26, 16, 20]",2037.0,"[5.600182851809723, 6.2886596376109045, 6.751588349183893, 6.407449463992345, 17.709905584592665, 13.469871520160071, 22.021193814709, 18.48856956691116, 16.635364201564084, 20.997794931443263]","[2, 3, 3, 3, 7, 6, 10, 8, 6, 8]",2039.0
7,False,7.142897998674,5.760834332560736,False,0.0,1,"[-0.6463986668276487, -0.6463986668276487, -0.3909257259713052, -1.7297440540620852, -1.7297440540620852, -1.7297440540620852, -0.26994277686114176]",[],[],[],[],"[-0.6463986668276487, -0.6463986668276487, -0.3909257259713052, -1.7297440540620852, -1.7297440540620852, -1.7297440540620852, -0.26994277686114176]",-4.0772727508880475,,,,,,,1.6837230596266026,2.6047749570553167,5.459174939047397,3.1560593755054196,0.0,0.0,0.0,0.0,,,,,,,,,,
8,True,22.3336897605554,8.977290637457582,True,108.85245807041328,1,"[-0.84356404512824, -0.84356404512824, -0.2436767754168475, -1.52670094101661, -1.52670094101661, -1.52670094101661, -0.7036817188371823, -6.30095957114073, -6.30095957114073, -2.5171812107136, -0.0]","[102.8268613540922, 78.46786780013147, 119.37151598382911, 233.71903350564077, 172.16162042978235, 218.16117213446338, 190.66838930106059, 236.81154806405362, 220.74352930657318, 174.00094913116874, 202.11612757767722, 147.05936074763179, 139.89321048219944, 110.11668672314478, 134.56121310359111]","[41, 30, 47, 96, 88, 86, 78, 94, 84, 77, 80, 63, 59, 59, 51]","[165.24271565907966, 45.65602039978734, 72.35442351510102, 123.87892129180987, 99.66535583163015, 126.6707458495884, 106.2188263296093, 135.99959392714717, 122.09971457774898, 107.02269489077032, 108.8195868273832, 77.97139117099547, 63.36559006235699, 52.1881858555719, 64.55766419641571]","[130.54174537067294, 36.068256115832, 57.159994576929805, 97.8643478205298, 78.73563110698782, 100.06988922117483, 83.91287280039134, 107.43967920244627, 96.4587745164217, 84.54792896370856, 85.96747359363273, 61.597399025086425, 50.05881614926203, 41.228666825901804, 51.00055471516841]","[-0.84356404512824, -0.84356404512824, -0.2436767754168475, -1.52670094101661, -1.52670094101661, -1.52670094101661, -0.7036817188371823, -6.30095957114073, -6.30095957114073, -2.5171812107136, -0.0, 130.54174537067294, 36.068256115832, 57.159994576929805, 97.8643478205298, 78.73563110698782, 100.06988922117483, 83.91287280039134, 107.43967920244627, 96.4587745164217, 84.54792896370856, 85.96747359363273, 61.597399025086425, 50.05881614926203, 41.228666825901804, 51.00055471516841]",55.04150495960518,2033.0,42.79606408260399,79.87020787663872,195.1779923559829,361.8974341726959,467.6343243553937,1.9308048656733274,2.2888657676013247,5.283784541887012,3.4609165422853607,15.11910035299506,2.3994917253941193,0.0,0.8280166021767785,5.100721223720518,"[102.8268613540922, 78.46786780013147, 119.37151598382911, 200.46102711363739, 127.91933708383011, 166.59021991614637, 143.97861545058035, 136.234674914505, 127.16405645733292, 99.97238584112714, 127.91146074318826, 74.93602340589426, 83.84481606164357, 68.12964498099478, 77.19790364626964]","[41, 30, 47, 79, 61, 65, 53, 51, 48, 42, 47, 32, 31, 39, 27]",2033.0,"[33.258006392003374, 44.24228334595224, 46.60757932214937, 40.76186882604693, 89.9444541534404, 81.48918578729544, 59.19081187965814, 54.6364544651068, 54.812685757491806, 33.13692597927195, 28.48776741010507, 43.39856838210895]","[17, 27, 19, 22, 39, 31, 28, 25, 25, 16, 14, 18]",2036.0,"[4.9633728961676375, 5.927905024433315, 10.632418996108228, 12.090287061944817, 14.837751410383484, 19.568212369382152, 17.31065158424571, 22.9114684412839, 13.49927433204492, 13.964741075212537]","[2, 3, 4, 5, 7, 8, 6, 12, 6, 6]",2038.0
9,False,7.052293478310149,6.294655052801325,False,0.0,1,"[-0.45531274851122155, -0.45531274851122155, -0.43595398092995513, -1.7097449654773724, -1.7097449654773724, -1.7097449654773724, -0.5764791039256335]",[],[],[],[],"[-0.45531274851122155, -0.45531274851122155, -0.43595398092995513, -1.7097449654773724, -1.7097449654773724, -1.7097449654773724, -0.5764791039256335]",-3.8316212305267303,,,,,,,1.3465794779523983,2.9574824828767357,5.705714000357751,3.337172569924589,0.0,0.0,0.0,0.0,,,,,,,,,,
