iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,False,6.362813387795928,5.902946312213338,False,0.0,1,"[-0.5928307331712354, -0.5928307331712354, -0.4900707554809915, -1.5236177765911911, -1.5236177765911911, -1.5236177765911911, -0.11622783619889271]",[],[],[],[],"[-0.5928307331712354, -0.5928307331712354, -0.4900707554809915, -1.5236177765911911, -1.5236177765911911, -1.5236177765911911, -0.11622783619889271]",-3.869418590220415,,,,,,,1.6757322218234623,2.826662195563734,4.687081165972466,3.076284116649604,0.0,0.0,0.0,0.0,,,,,,,,,,
1,True,27.851088524960577,10.476096426206214,True,127.56033108352017,0,"[-0.9637077150464646, -0.9626829277440078, -1.8502266687621223, -1.8502266687621223, -1.8502266687621223, -0.4681190612942121, -4.034180187501998, -4.034180187501998, -4.034180187501998, -4.034180187501998, -0.11637204894984499, -3.0559564578223446, -0.5968495578093408]","[57.567385179463464, 118.61537735569551, 93.3672243362261, 207.26206174385462, 233.62990076633585, 190.4937605132924, 210.5300474651597, 170.01700882707033, 165.30372316913872, 211.79634175424516, 177.60726714457874, 158.40813751772433, 166.50169443397175, 155.76526147252434, 128.47481366822245]","[27, 59, 36, 88, 113, 85, 91, 79, 66, 96, 70, 67, 70, 63, 58]","[157.27194445836597, 64.49503590175574, 55.67379630817625, 111.1959973815189, 110.69361672660008, 118.04671978160184, 111.91570653306303, 95.49967427868293, 80.46037757895081, 106.21778501509606, 102.14140337147452, 94.72361739175957, 89.9901508045956, 88.40420440342832, 60.14441031689302]","[124.24483612210912, 50.95107836238704, 43.98229908345924, 87.84483793139992, 87.44795721401407, 93.25690862746545, 88.41340816111979, 75.44474268015952, 63.56369828737114, 83.91205016192589, 80.69170866346488, 74.83165773949007, 71.09221913563053, 69.83932147870837, 47.51408415034549]","[-0.9637077150464646, -0.9626829277440078, -1.8502266687621223, -1.8502266687621223, -1.8502266687621223, -0.4681190612942121, -4.034180187501998, -4.034180187501998, -4.034180187501998, -4.034180187501998, -0.11637204894984499, -3.0559564578223446, -0.5968495578093408, 124.24483612210912, 50.95107836238704, 43.98229908345924, 87.84483793139992, 87.44795721401407, 93.25690862746545, 88.41340816111979, 75.44474268015952, 63.56369828737114, 83.91205016192589, 80.69170866346488, 74.83165773949007, 71.09221913563053, 69.83932147870837, 47.51408415034549]",45.16374036596202,2035.0,37.07979176741475,63.88547061738594,146.0570333958524,351.3214615142369,480.7014428913582,1.9263906427904725,1.9989366202153862,6.018799067580579,3.25300633116882,16.253092798957837,4.0288465173941335,3.6528060156316853,1.1953069574278725,0.0,"[57.567385179463464, 118.61537735569551, 93.3672243362261, 181.27028711296498, 200.26537275172208, 154.66066427913452, 117.3308895481237, 110.04495538621325, 73.01932171415235, 92.22597502102563, 113.91398478682338, 58.28969881155401, 82.67256024345554, 90.2743082016534, 78.57685180184039]","[27, 59, 36, 75, 100, 67, 51, 51, 31, 48, 37, 27, 34, 35, 37]",2035.0,"[25.99177463088964, 33.364528014613775, 28.747408365409424, 83.2903994319042, 53.13601904785698, 79.41082823924944, 99.04864721813126, 49.62302983646079, 76.52557579961503, 68.06401562354647, 52.535572414796306, 35.46310699509121]","[13, 13, 14, 36, 25, 29, 40, 26, 29, 30, 22, 15]",2038.0,"[7.085687868748436, 9.908758485131802, 6.8360343930000855, 12.873573215736936, 20.521719515088282, 14.070252521294588, 23.592862906555304, 15.765118566969758, 12.95538085607463, 14.434854871290861]","[4, 4, 3, 6, 8, 7, 11, 6, 6, 6]",2040.0
2,True,25.233543646619033,11.261697631817702,True,112.46711019269426,1,"[-1.4821606267351075, -1.017486324190589, -1.5779366372305383, -1.5779366372305383, -1.5779366372305383, -1.2079801332082372, -3.5586652970158026, -3.5586652970158026, -3.5586652970158026, -3.5586652970158026, -2.557445462730276, -0.0, -0.0]","[87.85054668921947, 76.19513548495898, 130.9939512825185, 263.70476276962216, 175.78503782490807, 220.60793717819988, 196.86248730705495, 183.0019908114252, 192.70305551969565, 154.86171797969695, 142.28626626634411, 143.61497220011566, 149.09303913950436, 129.17329968813587, 149.95008793112842]","[32, 29, 58, 114, 80, 92, 95, 74, 88, 74, 70, 64, 64, 63, 60]","[168.4355956836849, 38.545681291225605, 80.34574046814717, 149.90040032480107, 97.88496917276242, 134.67454974938377, 112.94819244400509, 96.27528941783117, 104.13064874308029, 72.01647754634904, 78.12777358011023, 80.94753288845908, 76.35136128495, 68.2881289927524, 88.8063463662532]","[133.0641205901111, 30.45108822006823, 63.473134969836266, 118.42131625659285, 77.32912564648231, 106.39289430201318, 89.22907203076402, 76.05747864008663, 82.26321250703343, 56.89301726161574, 61.72094112828708, 63.948550981882676, 60.317575415110504, 53.9476219042744, 70.15701362934003]","[-1.4821606267351075, -1.017486324190589, -1.5779366372305383, -1.5779366372305383, -1.5779366372305383, -1.2079801332082372, -3.5586652970158026, -3.5586652970158026, -3.5586652970158026, -3.5586652970158026, -2.557445462730276, -0.0, -0.0, 133.0641205901111, 30.45108822006823, 63.473134969836266, 118.42131625659285, 77.32912564648231, 106.39289430201318, 89.22907203076402, 76.05747864008663, 82.26321250703343, 56.89301726161574, 61.72094112828708, 63.948550981882676, 60.317575415110504, 53.9476219042744, 70.15701362934003]",47.47847499097657,2036.0,32.54273353232618,54.500797660359204,137.46877662387055,374.2825271248465,498.1741311512033,2.499646950925696,1.6864885666487446,5.941790044899852,3.7655441319420673,16.792106650793485,4.718652991860425,0.0,1.0910119413664652,5.683474173923335,"[87.85054668921947, 76.19513548495898, 130.9939512825185, 230.7377033755296, 141.3419357956138, 168.18925152767338, 119.87932685980053, 118.34098896186471, 91.58871137280036, 90.34859330569331, 71.53138281278906, 71.18756090917837, 83.45959158996362, 54.485576259533985, 77.62885385285398]","[32, 29, 58, 96, 63, 70, 54, 45, 42, 44, 35, 31, 35, 32, 31]",2036.0,"[32.96705939409254, 34.44310202929426, 48.208861460496266, 73.09631716315727, 56.53069406224399, 81.65071078613448, 43.54906303652727, 43.995629674587065, 48.58979911597933, 53.74259970471338, 49.3606849636696, 57.19012679829635]","[18, 17, 20, 39, 25, 38, 21, 25, 24, 22, 21, 22]",2039.0,"[4.209824190030205, 3.886843284097167, 8.1303077873165, 19.46363336076081, 20.96406163747635, 26.759253778968002, 23.837612174957947, 11.890847844827356, 25.32703846493229, 15.131107279978096]","[2, 2, 4, 8, 9, 10, 9, 7, 10, 7]",2041.0
3,True,20.915083313741192,9.428594200517088,True,108.95865228248314,1,"[-0.8959609054733075, -0.8313981425001985, -0.9261041482972611, -0.9261041482972611, -0.9261041482972611, -0.8327539409331411, -6.561498094440952, -6.561498094440952, -1.9373801485064253, -0.39525824583847435, -0.1210232967159557]","[87.70334712859673, 49.515124583667685, 115.04198974674105, 171.934159415406, 292.2683507564335, 233.4532612070455, 164.73382014181357, 227.99912264408425, 203.36449631030314, 168.83471983779094, 153.87201207102342, 160.62240224390274, 117.3581472172539, 141.64083803120772, 142.09668582105826]","[46, 20, 42, 88, 122, 97, 78, 93, 94, 68, 63, 69, 51, 60, 58]","[164.9354156226461, 23.18158978739523, 57.36527459542645, 91.97634772935656, 160.918861357786, 111.79128971949255, 79.6718758939836, 128.22305812353778, 111.36847048372124, 98.37799554354785, 78.16346913819375, 97.36754997125277, 64.54223595715158, 70.58690276845493, 83.83655493354266]","[130.29897834189043, 18.31345593204223, 45.31856693038689, 72.66131470619169, 127.12590047265094, 88.31511887839912, 62.94078195624704, 101.29621591759485, 87.98109168213978, 77.71861647940281, 61.74914061917306, 76.9203644772897, 50.988366406149744, 55.7636531870794, 66.2308783974987]","[-0.8959609054733075, -0.8313981425001985, -0.9261041482972611, -0.9261041482972611, -0.9261041482972611, -0.8327539409331411, -6.561498094440952, -6.561498094440952, -1.9373801485064253, -0.39525824583847435, -0.1210232967159557, 130.29897834189043, 18.31345593204223, 45.31856693038689, 72.66131470619169, 127.12590047265094, 88.31511887839912, 62.94078195624704, 101.29621591759485, 87.98109168213978, 77.71861647940281, 61.74914061917306, 76.9203644772897, 50.988366406149744, 55.7636531870794, 66.2308783974987]",66.83809934524963,2034.0,47.33583895235773,79.41840095332563,193.0637808725006,338.1179536103466,467.06762145841685,1.7273590479735061,1.92794020076244,3.611066385824924,3.8992011778202764,15.06037633738833,2.2952649106379863,0.51628154255443,1.3061879112963855,4.667860680803313,"[87.70334712859673, 49.515124583667685, 115.04198974674105, 149.08078658637837, 239.40840231531337, 153.69613150111707, 104.35643298701979, 145.9741707723446, 106.1489384455997, 78.62146377981315, 94.04201652923672, 94.88535603818721, 58.76909147552477, 61.27870908294416, 89.69503604142685]","[46, 20, 42, 77, 101, 63, 49, 55, 48, 34, 33, 40, 27, 29, 34]",2034.0,"[22.853372829027624, 52.85994844112013, 72.41789472611276, 55.07089123318436, 69.97558161384055, 80.22517522882171, 76.68759343765527, 46.4431265565268, 52.821531289956624, 41.73425729143297, 62.582582055420175, 30.21699436284947]","[11, 21, 31, 27, 31, 40, 28, 24, 23, 16, 23, 13]",2037.0,"[7.339234979815661, 5.306495921609404, 12.04937025789912, 16.99038263588174, 13.52566262032252, 13.386868985259902, 12.915514915758894, 16.854798450296162, 17.779546892843378, 22.18465541678194]","[3, 2, 7, 6, 6, 6, 6, 8, 8, 11]",2039.0
4,True,25.170786059064774,10.258494114486881,False,0.0,1,"[-0.8797296004513282, -0.8171798264649984, -1.0738334635252686, -1.0738334635252686, -1.0738334635252686, -0.9046585173760159, -6.234016171805829, -6.234016171805829, -6.234016171805829, -0.12215892968683584, -0.35672575388469874, -0.16678452520760687]","[42.675632591776754, 111.9095225319267, 121.04676950100821, 203.16430517804008, 175.89064150795642, 210.8003241160406, 188.8403111616031, 206.0437111106464, 154.4628866175777, 190.4970566832135, 158.62369755457442, 164.28647392732915, 153.4463138135015, 161.34895497771564, 141.58987937158284]","[22, 57, 48, 83, 67, 87, 83, 101, 82, 88, 73, 71, 67, 69, 61]","[32.63385458854042, 68.04736724744704, 66.63549128568816, 117.6218289402747, 98.27191174008057, 112.20628060360482, 105.55144658631158, 114.835801710048, 89.79421243779616, 111.48728150426919, 75.56452037260104, 88.99839307245091, 83.73283426490713, 77.97562325984823, 75.77409571620969]","[25.780745124946932, 53.757420125483165, 52.64203811569365, 92.92124486281702, 77.63481027466365, 88.64296167684782, 83.38564280318616, 90.72028335093792, 70.93742782585898, 88.07495238837267, 59.69597109435482, 70.30873052723622, 66.14893906927662, 61.600742375280106, 59.86153561580565]","[-0.8797296004513282, -0.8171798264649984, -1.0738334635252686, -1.0738334635252686, -1.0738334635252686, -0.9046585173760159, -6.234016171805829, -6.234016171805829, -6.234016171805829, -0.12215892968683584, -0.35672575388469874, -0.16678452520760687, 25.780745124946932, 53.757420125483165, 52.64203811569365, 92.92124486281702, 77.63481027466365, 88.64296167684782, 83.38564280318616, 90.72028335093792, 70.93742782585898, 88.07495238837267, 59.69597109435482, 70.30873052723622, 66.14893906927662, 61.600742375280106, 59.86153561580565]",43.18094147026684,2035.0,30.680441157842893,52.41740350629697,130.2485318236316,273.0299636607331,387.51600180299914,1.6969094269163265,1.9288988639756581,4.1261589079518215,3.842456999250264,18.82420744510432,3.0195955426357917,0.5235102790923056,1.4675427086251673,5.737591588264036,"[42.675632591776754, 111.9095225319267, 121.04676950100821, 178.49709257649468, 141.09722079809663, 139.13426791487302, 138.85410955089716, 110.84287434686291, 73.24369555938345, 110.29556520768034, 78.32959416969217, 99.67508539138163, 72.1206972144302, 92.58902261752428, 69.36138919283957]","[22, 57, 48, 71, 54, 62, 58, 56, 41, 51, 36, 41, 30, 38, 32]",2035.0,"[24.667212601545394, 34.79342070985978, 63.33007940723998, 41.45773908679816, 81.79804649837901, 75.97087091135164, 62.1309775410853, 67.08033963427546, 32.313040512249515, 60.9043329021288, 56.70191492109578, 57.99517177071802]","[12, 13, 22, 22, 39, 38, 29, 31, 18, 29, 26, 23]",2038.0,"[8.33597679392761, 8.528462523907772, 13.402790265404489, 5.248320146842621, 18.07051393444783, 13.21376375060677, 32.29834802369798, 20.4212836969425, 12.058017439095586, 14.233318408025259]","[3, 3, 6, 3, 8, 6, 12, 8, 5, 6]",2040.0
5,False,19.830802829503185,8.332753991532162,False,0.0,1,"[-0.9644973989515448, -0.8446372433600757, -1.7581185195181204, -1.7581185195181204, -1.7581185195181204, -0.0688382501418822, -3.7094647614267493, -3.7094647614267493, -3.7094647614267493, -1.5500800942150728]",[],[],[],[],"[-0.9644973989515448, -0.8446372433600757, -1.7581185195181204, -1.7581185195181204, -1.7581185195181204, -0.0688382501418822, -3.7094647614267493, -3.7094647614267493, -3.7094647614267493, -1.5500800942150728]",-8.824828786079763,,,,,,,1.8091346423116206,1.8757278602080598,5.343193808696244,3.039154499186295,12.67847437849532,3.417871632137806,0.0,0.0,,,,,,,,,,
6,False,1.8013745086239112,1.5744717239087955,False,0.0,1,"[-1.1441135977671324, -0.6572609108567788]",[],[],[],[],"[-1.1441135977671324, -0.6572609108567788]",-1.701114369679657,,,,,,,1.8013745086239112,1.5744717239087955,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
7,True,22.872421017884903,11.749903171100831,False,0.0,1,"[-0.5470442549613148, -0.5470442549613148, -0.510813289156856, -1.6918544073106576, -1.6918544073106576, -1.6918544073106576, -1.6918544073106576, -0.017322560694225424, -4.049190414345156, -4.049190414345156, -4.049190414345156, -1.7819983338623804, -0.4050421200871853, -0.14816733188352918]","[72.98036556391013, 70.63866602096397, 90.17387916096457, 160.47908960906645, 253.05311328428783, 204.9059591786349, 220.03395570060374, 210.92746473726, 224.06953170190357, 164.7877987127881, 162.53830472654306, 177.47872495808957, 135.27670209271133, 140.73356788179277, 122.67091012389498]","[32, 32, 52, 59, 118, 91, 105, 77, 94, 73, 70, 73, 61, 68, 49]","[45.49226821748805, 40.02491709161494, 46.69067505354229, 88.02742416339879, 148.65166024850717, 131.328349477342, 120.36158270801097, 121.77414101370724, 132.7632044782674, 78.78763270001772, 84.37896823298924, 106.08868711043168, 70.91157282570325, 82.2580562727095, 78.17710949317765]","[35.93889189181556, 31.6196845023758, 36.88563329229841, 69.54166508908504, 117.43481159632066, 103.74939608710017, 95.08565033932867, 96.20157140082873, 104.88293153783124, 62.242229833014, 66.6593849040615, 83.81006281724103, 56.02014253230556, 64.98386445544051, 61.75991649961035]","[-0.5470442549613148, -0.5470442549613148, -0.510813289156856, -1.6918544073106576, -1.6918544073106576, -1.6918544073106576, -1.6918544073106576, -0.017322560694225424, -4.049190414345156, -4.049190414345156, -4.049190414345156, -1.7819983338623804, -0.4050421200871853, -0.14816733188352918, 35.93889189181556, 31.6196845023758, 36.88563329229841, 69.54166508908504, 117.43481159632066, 103.74939608710017, 95.08565033932867, 96.20157140082873, 104.88293153783124, 62.242229833014, 66.6593849040615, 83.81006281724103, 56.02014253230556, 64.98386445544051, 61.75991649961035]",30.900608742958795,2036.0,23.397453473572895,47.802129417650015,129.28208630147992,281.20060843945805,392.46801136260535,1.6049017990794856,2.9337695890673032,6.784740189936856,4.0102388010572145,13.929569576897848,3.44008756109598,0.5532094519707145,1.3658072198803328,5.178577441708676,"[72.98036556391013, 70.63866602096397, 90.17387916096457, 112.18136896772266, 234.27465783041657, 132.10088309386057, 163.15157135241876, 123.96459556310832, 131.09466749234258, 89.5058748498719, 62.77313823289839, 94.67295048111336, 69.04880887416485, 64.795814825516, 82.43575383235432]","[32, 32, 52, 41, 109, 62, 78, 45, 59, 41, 30, 34, 32, 35, 30]",2036.0,"[48.29772064134379, 18.778455453871267, 65.56343287472382, 47.7501846458923, 72.47241639106663, 76.85377487139795, 64.4542066834184, 77.17832658396702, 62.585046067514185, 50.81405095229054, 55.93055698882479, 29.812411957353213]","[18, 9, 26, 23, 27, 28, 27, 29, 28, 23, 25, 14]",2039.0,"[7.241643210050502, 9.1321997022927, 14.490452783085065, 16.121089338163056, 10.827717179497792, 22.58683990967766, 20.220728409462023, 15.413842266255934, 20.007196067451975, 10.422744334187446]","[3, 4, 5, 7, 5, 11, 11, 6, 8, 5]",2041.0
8,True,20.497229420826883,9.983501043349555,True,124.35225938502069,1,"[-0.8151019970506957, -0.8151019970506957, -0.08100266306278618, -1.9361797308604507, -1.9361797308604507, -1.6268932770468658, -3.1715222545034933, -3.1715222545034933, -3.1715222545034933, -3.1715222545034933, -0.5379204583426717, -0.06276054853829471]","[78.61671923540969, 102.25343315882517, 184.6072567278493, 141.13553940481762, 178.09197969415146, 212.67155393958254, 209.5524278022072, 224.78968473902242, 194.22032227773525, 172.17258059972283, 145.16435280166723, 131.27246716843894, 171.54453730579553, 137.8973637206858, 139.54457787125799]","[29, 42, 70, 65, 87, 97, 96, 90, 82, 73, 70, 62, 69, 58, 60]","[170.2383657296928, 59.141241961385695, 98.1138312583157, 76.04723281734545, 100.54880448835623, 132.037197715038, 118.28307128302121, 113.68699627884772, 103.77248502837087, 78.99914114304318, 81.83762207659193, 69.22806038292745, 87.06728531426788, 77.0988317090579, 88.67092519048691]","[134.4883089264573, 46.721581149494696, 77.5099266940694, 60.0773139257029, 79.43355554580143, 104.30938619488, 93.44362631358676, 89.81272706028969, 81.98026317241299, 62.40932150300411, 64.65172144050763, 54.69016770251269, 68.78315539827162, 60.90807705015575, 70.05003090048466]","[-0.8151019970506957, -0.8151019970506957, -0.08100266306278618, -1.9361797308604507, -1.9361797308604507, -1.6268932770468658, -3.1715222545034933, -3.1715222545034933, -3.1715222545034933, -3.1715222545034933, -0.5379204583426717, -0.06276054853829471, 134.4883089264573, 46.721581149494696, 77.5099266940694, 60.0773139257029, 79.43355554580143, 104.30938619488, 93.44362631358676, 89.81272706028969, 81.98026317241299, 62.40932150300411, 64.65172144050763, 54.69016770251269, 68.78315539827162, 60.90807705015575, 70.05003090048466]",59.79414086534288,2034.0,44.5797220729633,77.08758231727636,161.16121015907532,386.35547171752154,496.2017423961721,1.7112066571641777,2.09937733358019,5.499252738767767,2.840259430008527,13.224009476356645,4.169609548720283,0.06276054853829471,0.8742547310405544,4.680815553781104,"[78.61671923540969, 102.25343315882517, 184.6072567278493, 129.13761653152045, 139.151955734452, 155.15593954458444, 123.90862282477168, 131.70589096801, 116.22007149508778, 91.16117023549988, 78.13055224139572, 65.26259167664769, 94.57937565770214, 63.458743662796515, 80.5371788298725]","[29, 42, 70, 60, 67, 72, 61, 46, 52, 40, 36, 34, 39, 28, 32]",2034.0,"[11.997922873297169, 38.94002395969946, 55.50869101832548, 77.63672592006294, 83.08412272557894, 64.59941685158938, 67.79292361408812, 53.88617002141105, 47.56235893498361, 62.95316999108767, 47.69773659743211, 41.66981817677435]","[5, 20, 24, 32, 40, 24, 27, 29, 21, 23, 18, 21]",2037.0,"[2.006923376672632, 8.00707905737259, 9.999671045433471, 13.400833931058102, 13.218486750134844, 13.147630538860469, 18.447516556807635, 14.011991657005726, 26.740883460457177, 17.337580864611148]","[1, 3, 4, 6, 6, 5, 7, 7, 12, 7]",2039.0
9,True,19.80629894676193,8.838285593545784,True,130.7981836702233,1,"[-0.8442490340543677, -0.4395644342740112, -1.9282340533867357, -1.9282340533867357, -1.9282340533867357, -1.0896783111631465, -3.7134842897605114, -3.7134842897605114, -3.1632364475579466, -1.0578999800312303]","[61.5716719415601, 114.47305564204949, 176.81093165521523, 182.74493933697704, 216.35201814907742, 169.28161415642236, 207.37330700884755, 208.57125756905486, 226.825164094977, 176.30598311048942, 179.72481275626717, 157.27645828468158, 148.7081018120549, 168.8800094427018, 132.77677710455157]","[31, 44, 65, 92, 77, 71, 87, 87, 93, 72, 68, 68, 63, 68, 58]","[169.5932011639665, 55.517368776314996, 110.70000177598709, 97.43734920267326, 120.6874248382272, 87.14987491661083, 110.38817487363174, 119.86900886548545, 124.31084577280126, 102.51554158108412, 92.51737100545719, 87.5994199403685, 89.69705670317441, 97.56674718571051, 72.8690684021239]","[133.97862891953355, 43.85872133328885, 87.4530014030298, 76.97550587011187, 95.34306562219949, 68.84840118412255, 87.20665815016908, 94.6965170037335, 98.205568160513, 80.98727784905645, 73.08872309431118, 69.20354175289111, 70.86067479550779, 77.0777302767113, 57.56656403767788]","[-0.8442490340543677, -0.4395644342740112, -1.9282340533867357, -1.9282340533867357, -1.9282340533867357, -1.0896783111631465, -3.7134842897605114, -3.7134842897605114, -3.1632364475579466, -1.0578999800312303, 133.97862891953355, 43.85872133328885, 87.4530014030298, 76.97550587011187, 95.34306562219949, 68.84840118412255, 87.20665815016908, 94.6965170037335, 98.205568160513, 80.98727784905645, 73.08872309431118, 69.20354175289111, 70.86067479550779, 77.0777302767113, 57.56656403767788]",89.72607998134043,2033.0,58.27787168422658,90.12721494679745,213.4188663189027,399.04140140769874,516.0222743883696,1.2838134683283788,1.520657313829635,6.874380471323353,3.565117242509665,10.59020502707897,2.8518243785978017,1.0578999800312303,0.9006866586086819,4.36614637460058,"[61.5716719415601, 114.47305564204949, 176.81093165521523, 143.5016061969704, 172.4025149028836, 127.37553830672465, 120.57312017709008, 131.4870232980898, 153.069040995867, 104.69653427855602, 104.52222708558368, 88.35108435181294, 59.756579307559406, 85.39425654451593, 72.00290889375026]","[31, 44, 65, 76, 60, 51, 45, 53, 57, 42, 38, 39, 27, 33, 35]",2033.0,"[39.24333314000664, 43.949503246193814, 37.998043453511826, 77.33943403195882, 62.365907389448964, 64.43461295886809, 59.083675822557765, 57.22811743182729, 52.71835065243985, 65.69419837573872, 56.55682915195905, 52.709977702839836]","[16, 17, 18, 38, 28, 32, 24, 23, 20, 27, 24, 19]",2036.0,"[3.908032396185898, 9.460752799798659, 14.718326881516075, 9.321510140241914, 12.52577300937567, 17.974468238856197, 16.207023280428796, 23.25732412875678, 26.928923746226815, 8.063890507961466]","[2, 4, 6, 4, 6, 7, 9, 9, 11, 4]",2038.0
