iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,True,24.002251574743447,10.51299000165358,True,103.91832531285927,1,"[-0.8956000010494269, -0.8956000010494269, -0.2565419937015742, -1.391403190651958, -1.391403190651958, -1.391403190651958, -0.4664765003300718, -4.019871263653275, -4.019871263653275, -4.019871263653275, -3.7498649428039266, -1.504344772893317]","[73.14190072906356, 116.43670921236247, 130.28615209615066, 177.18106446100293, 299.13568662365105, 251.4368326926626, 216.95793874091592, 264.7424044331891, 244.525043217581, 206.3034313144562, 155.9588063641198, 167.34317481788702, 159.38949042259907, 185.2339380656064, 164.05227663408203]","[24, 44, 42, 69, 102, 90, 92, 94, 95, 81, 67, 67, 67, 68, 61]","[148.9557437943081, 65.51539493073886, 75.01869200035544, 101.65502242273041, 156.34838288688968, 136.74232245088552, 122.66673634938401, 160.1864343630554, 131.24896894400885, 116.72881013129609, 86.9386685738279, 87.78305375328804, 93.90641454473676, 114.81165961431469, 86.84691253846799]","[117.67503759750339, 51.7571619952837, 59.2647666802808, 80.30746771395702, 123.51522248064285, 108.02643473619956, 96.90672171601337, 126.54728314681378, 103.686685465767, 92.21576000372391, 68.68154817332405, 69.34861246509756, 74.18606749034204, 90.70121109530861, 68.60906090538971]","[-0.8956000010494269, -0.8956000010494269, -0.2565419937015742, -1.391403190651958, -1.391403190651958, -1.391403190651958, -0.4664765003300718, -4.019871263653275, -4.019871263653275, -4.019871263653275, -3.7498649428039266, -1.504344772893317, 117.67503759750339, 51.7571619952837, 59.2647666802808, 80.30746771395702, 123.51522248064285, 108.02643473619956, 96.90672171601337, 126.54728314681378, 103.686685465767, 92.21576000372391, 68.68154817332405, 69.34861246509756, 74.18606749034204, 90.70121109530861, 68.60906090538971]",48.84214181308551,2035.0,33.063673963335255,62.671941087721734,150.7899606466566,379.17314622581586,503.73986781635733,2.047741995800428,2.2864470672185897,4.640686072285946,3.3352561669141343,15.809478733763754,3.9328320975622573,1.504344772893317,0.9584546699585986,5.112541201512425,"[73.14190072906356, 116.43670921236247, 130.28615209615066, 164.36243550300972, 257.9605148198501, 180.38682789359075, 144.31606320566414, 159.27843269207685, 142.80557817010845, 113.51188406092481, 75.02554595182222, 101.95512481378586, 77.44032611124037, 97.90663979020569, 70.91640653594713]","[24, 44, 42, 64, 88, 65, 54, 59, 56, 42, 36, 39, 33, 32, 28]",2035.0,"[12.81862895799321, 41.17517180380094, 57.678097991410596, 70.3860973271064, 96.57401184096666, 80.51213083799307, 71.09771710576962, 62.85446778844083, 53.00788741320461, 54.35578158380002, 61.908355407954375, 74.31910833836504]","[5, 14, 20, 37, 31, 31, 32, 25, 22, 22, 25, 25]",2038.0,"[13.371906807661242, 2.2557782081453803, 8.889959900145602, 21.20733420947945, 21.69383014776177, 18.07879262385674, 12.380162590896571, 27.5933827275587, 25.41894286744633, 18.81676175976987]","[5, 1, 4, 8, 7, 6, 6, 12, 11, 8]",2040.0
1,False,5.938409776775949,4.910633127458647,False,0.0,1,"[-0.4822287124192011, -0.4822287124192011, -0.2132894322684825, -1.9286949390748023, -1.9286949390748023, -0.9032730415194596]",[],[],[],[],"[-0.4822287124192011, -0.4822287124192011, -0.2132894322684825, -1.9286949390748023, -1.9286949390748023, -0.9032730415194596]",-3.4414708025480154,,,,,,,1.1777468571068848,2.442299321412181,4.760662919669064,2.4683338060464663,0.0,0.0,0.0,0.0,,,,,,,,,,
2,True,23.467962876454965,8.408769526815284,True,136.95714657958635,1,"[-0.8231744288995879, -0.8231744288995879, -0.22583926144001842, -1.795827742623372, -1.795827742623372, -0.6099618079759701, -5.995474734472642, -5.995474734472642, -5.081772116371167, -0.32143587867660495]","[64.13469655282435, 103.79595467813006, 151.85941844092497, 205.61025355128197, 207.77132163294831, 164.93379431100746, 252.424739151243, 235.73513587494563, 203.96609404043787, 227.64771787417257, 190.98064240867598, 158.5718235510174, 134.75865974679763, 149.04451366892513, 136.64028282156798]","[25, 47, 79, 94, 69, 81, 92, 92, 80, 87, 73, 74, 51, 56, 60]","[174.92905975005593, 59.12171450132527, 79.6958962804143, 119.89998303491197, 116.6746778159905, 86.93399983340578, 123.31195511901623, 122.76745496227099, 108.06181846245528, 125.37019065376384, 105.12098166661482, 101.62602987702068, 65.68942975880181, 86.01059752489053, 69.00825887507756]","[138.1939572025442, 46.70615445604697, 62.959758061527296, 94.72098659758046, 92.1729954746325, 68.67785986839057, 97.41644454402282, 96.98628942019408, 85.36883658533966, 99.04245061647343, 83.04557551662572, 80.28456360284633, 51.89464950945343, 67.94837204466351, 54.516524511311275]","[-0.8231744288995879, -0.8231744288995879, -0.22583926144001842, -1.795827742623372, -1.795827742623372, -0.6099618079759701, -5.995474734472642, -5.995474734472642, -5.081772116371167, -0.32143587867660495, 138.1939572025442, 46.70615445604697, 62.959758061527296, 94.72098659758046, 92.1729954746325, 68.67785986839057, 97.41644454402282, 96.98628942019408, 85.36883658533966, 99.04245061647343, 83.04557551662572, 80.28456360284633, 51.89464950945343, 67.94837204466351, 54.516524511311275]",69.9244141658949,2033.0,49.94703354443659,92.29070366457378,180.2750795015698,368.52452969230575,487.07962804272364,1.8721881192391943,2.274351648340095,4.201617293222714,2.339654964392592,17.07272158531645,2.8476012895446146,0.32143587867660495,0.9471616245379813,5.318584719634791,"[64.13469655282435, 103.79595467813006, 151.85941844092497, 159.45652338512892, 162.90673628772268, 117.23646224748163, 160.15703814329817, 149.9181185294193, 112.53909543314862, 112.49911690935033, 103.71917436627898, 77.89785519480321, 72.02205420620619, 93.86707466885473, 71.27208125951817]","[25, 47, 79, 73, 53, 57, 60, 55, 45, 42, 38, 39, 28, 35, 31]",2033.0,"[46.15373016615304, 44.86458534522563, 39.4199281761998, 87.0210897036595, 71.6797218081987, 82.18458401633312, 98.63226364944022, 70.23601301807669, 55.4386024606317, 40.044920724136546, 41.400206087589936, 51.688315911794106]","[21, 16, 21, 30, 32, 31, 38, 29, 25, 13, 15, 24]",2036.0,"[8.27740388732604, 5.24661130428533, 14.137295537327603, 9.24241459095614, 16.516337315382003, 17.025455024320305, 25.235365895582483, 22.691684816454885, 13.777232912480462, 13.679885650255697]","[3, 2, 5, 4, 7, 6, 10, 10, 6, 5]",2038.0
3,False,21.65755778153838,9.501627582845048,False,0.0,1,"[-0.7708369994264291, -0.7708369994264291, -0.5286408656011395, -1.065418825298191, -1.065418825298191, -1.065418825298191, -0.2844470349094422, -4.538529904434981, -4.538529904434981, -4.538529904434981, -2.4909496929754242]",[],[],[],[],"[-0.7708369994264291, -0.7708369994264291, -0.5286408656011395, -1.065418825298191, -1.065418825298191, -1.065418825298191, -0.2844470349094422, -4.538529904434981, -4.538529904434981, -4.538529904434981, -2.4909496929754242]",-7.038142068553116,,,,,,,2.070314864453998,2.6858011045065235,3.4807035108040156,3.266981423788744,16.106539406280366,3.54884505454978,0.0,0.0,,,,,,,,,,
4,True,21.302408466740527,12.35392881376829,False,0.0,1,"[-0.40718820624841084, -0.40718820624841084, -0.34441612603879046, -1.4953690376208244, -1.4953690376208244, -1.4953690376208244, -1.4953690376208244, -0.2469615001380362, -3.2096585325847915, -3.2096585325847915, -3.2096585325847915, -3.207748774703783, -0.8027000860330469, -0.27575381909237895]","[141.04883357641052, 130.23433768188067, 166.81285243542996, 156.519797837123, 222.65662776289213, 206.35087186478705, 322.7556507604721, 285.00029565337684, 199.81802148180466, 198.05987214069503, 225.10585402338342, 173.21107815474915, 149.64794593160428, 137.9088772689619, 136.66717930277838]","[50, 50, 64, 56, 97, 85, 115, 98, 78, 81, 84, 64, 62, 55, 54]","[81.03011093467008, 64.98759186407295, 90.101940953194, 93.31951340709716, 130.81736498197034, 103.33098153003883, 183.03750228029946, 145.51578027421942, 103.71445492798694, 98.3337989727776, 124.85009655780013, 100.89232024171368, 79.94794520699256, 80.46819357430051, 70.54354880197364]","[64.01378763838936, 51.34019757261763, 71.18053335302326, 73.72241559160676, 103.34571833575657, 81.63147540873067, 144.59962680143659, 114.95746641663334, 81.93441939310968, 77.6837011884943, 98.6315762806621, 79.70493299095381, 63.15887671352412, 63.5698729236974, 55.72940355355918]","[-0.40718820624841084, -0.40718820624841084, -0.34441612603879046, -1.4953690376208244, -1.4953690376208244, -1.4953690376208244, -1.4953690376208244, -0.2469615001380362, -3.2096585325847915, -3.2096585325847915, -3.2096585325847915, -3.207748774703783, -0.8027000860330469, -0.27575381909237895, 64.01378763838936, 51.34019757261763, 71.18053335302326, 73.72241559160676, 103.34571833575657, 81.63147540873067, 144.59962680143659, 114.95746641663334, 81.93441939310968, 77.6837011884943, 98.6315762806621, 79.70493299095381, 63.15887671352412, 63.5698729236974, 55.72940355355918]",28.106686619609743,2037.0,19.237705108212186,40.315666279590474,121.29772548708033,309.01224840544893,440.1785115191538,1.1587925385356121,2.8458401317956508,6.228437650621334,4.1651508717413055,12.836724372458157,3.9994049965559824,1.0784539051254258,1.343532813675351,4.766290505769873,"[141.04883357641052, 130.23433768188067, 166.81285243542996, 122.28974296924581, 167.69727143661368, 147.82080446981612, 208.54641750096084, 161.50868617771374, 109.02024181925887, 115.08811390203591, 110.83194761098538, 88.6273334535623, 83.39945538286645, 76.60002686589966, 67.09362455156769]","[50, 50, 64, 44, 75, 59, 76, 57, 40, 44, 44, 36, 33, 33, 26]",2037.0,"[34.230054867877186, 54.95935632627844, 54.51577617994748, 107.26944790683557, 110.61899506374829, 77.86639001899613, 56.93053126222299, 95.16776885162649, 66.65339953020066, 40.53811991137697, 41.651503009625294, 52.68681921863936]","[12, 22, 24, 36, 36, 33, 28, 32, 21, 19, 15, 19]",2040.0,"[4.014291215023421, 6.939785352675688, 12.872614411914789, 12.931389643549673, 26.041226976436114, 19.106137560771547, 17.930345170986183, 25.71037063736088, 19.65734739343693, 16.88673553257133]","[2, 3, 5, 5, 9, 8, 7, 10, 7, 9]",2042.0
5,False,23.707725991696144,8.760446581457984,False,0.0,1,"[-1.4381412156054558, -0.8555485525822328, -1.7334928905146618, -1.7334928905146618, -1.7334928905146618, -0.14569101274561336, -3.9367523892141323, -3.9367523892141323, -3.9367523892141323, -3.9367523892141323, -0.32085698236232496]",[],[],[],[],"[-1.4381412156054558, -0.8555485525822328, -1.7334928905146618, -1.7334928905146618, -1.7334928905146618, -0.14569101274561336, -3.9367523892141323, -3.9367523892141323, -3.9367523892141323, -3.9367523892141323, -0.32085698236232496]",-9.400061570467724,,,,,,,2.2936897681876887,1.594898848109327,5.346169684289599,3.084044770845503,16.067866539218855,4.081502962503155,0.0,0.0,,,,,,,,,,
6,True,18.868435994613428,9.242324322718302,True,111.5724800897869,1,"[-0.8924421815854154, -0.8924421815854154, -0.11320392389159395, -1.0741434887702188, -1.0741434887702188, -1.0741434887702188, -0.1794046656975065, -4.475965108139984, -4.475965108139984, -4.475965108139984, -0.14061725112288778, -0.0]","[71.64581286306904, 76.5542749372565, 240.56528107840157, 190.08135873103316, 211.58523797079553, 183.02363992489816, 200.91307870541164, 251.86604728725638, 299.60829446761835, 203.08798479503415, 186.62865428034044, 186.02216030002808, 151.16449688318212, 138.81972230816928, 183.07593228464486]","[29, 25, 89, 85, 78, 80, 73, 90, 109, 77, 71, 70, 57, 60, 67]","[153.35898153231264, 41.67598270408013, 135.50029940285975, 112.48437265221088, 133.15531085049324, 98.40977246208422, 109.77207605786234, 158.3862487706646, 162.684959668404, 130.4465845250055, 104.80560741435966, 100.68534385072431, 81.17837739495303, 82.35082618465168, 105.61789665606253]","[121.15359541052699, 32.9240263362233, 107.04523652825921, 88.8626543952466, 105.19269557188966, 77.74372024504653, 86.71994008571124, 125.12513652882504, 128.52111813803916, 103.05280177475436, 82.79642985734412, 79.54142164207221, 64.13091814201289, 65.05715268587483, 83.4381383582894]","[-0.8924421815854154, -0.8924421815854154, -0.11320392389159395, -1.0741434887702188, -1.0741434887702188, -1.0741434887702188, -0.1794046656975065, -4.475965108139984, -4.475965108139984, -4.475965108139984, -0.14061725112288778, -0.0, 121.15359541052699, 32.9240263362233, 107.04523652825921, 88.8626543952466, 105.19269557188966, 77.74372024504653, 86.71994008571124, 125.12513652882504, 128.52111813803916, 103.05280177475436, 82.79642985734412, 79.54142164207221, 64.13091814201289, 65.05715268587483, 83.4381383582894]",51.122007020725334,2034.0,46.34723833295183,83.64553212819314,189.1082465909744,391.3746964860338,513.9993687603466,1.898088287062425,2.126847347903803,3.401835132008163,3.167021135977751,13.568512575542838,3.0314160740143308,0.0,0.9170397648224172,4.24258692688775,"[71.64581286306904, 76.5542749372565, 240.56528107840157, 143.36533165718052, 175.90557922802583, 125.93388661316118, 121.54179926191645, 170.39404526271542, 169.60632309283028, 113.50043115951972, 112.86662395848066, 99.99282833270077, 71.1774390056043, 60.97288153474319, 95.29553513446166]","[29, 25, 89, 65, 63, 54, 42, 59, 58, 43, 44, 38, 28, 28, 38]",2034.0,"[46.71602707385265, 35.679658742769696, 52.68825866541248, 74.50762506256793, 72.25752777346989, 106.68697771799589, 76.15573368485919, 47.49627727955112, 66.11789388172252, 52.489025401783614, 57.91020717186761, 59.94384819409675]","[20, 15, 24, 29, 28, 43, 29, 17, 25, 19, 24, 20]",2037.0,"[4.401494646324506, 4.863654380927239, 9.214474251071053, 23.314993656792204, 13.431819950655242, 26.26575304230866, 19.911438085604804, 27.498032475794222, 19.93663360155848, 27.83654895608646]","[2, 2, 3, 8, 5, 10, 7, 10, 8, 9]",2039.0
7,True,20.4581348400765,9.31185865767456,True,97.52842358088282,1,"[-1.0238133418697042, -1.0238133418697042, -0.12491992395874446, -1.6733736690597976, -1.6733736690597976, -1.1642332293115611, -3.5847795932994404, -3.5847795932994404, -3.5847795932994404, -1.9143822603518084, -1.1058866246970611]","[126.35992446120319, 75.02950153556445, 170.5517378143484, 194.7283444473408, 169.5974440260519, 198.94522742942476, 198.40438396986787, 269.0664490359925, 197.7955948568659, 199.70131254595884, 227.73459679572835, 161.28444981657475, 151.7818341422315, 149.484153611847, 161.53893285075614]","[54, 27, 65, 70, 61, 92, 90, 110, 82, 67, 83, 65, 62, 62, 55]","[160.32754162608518, 39.36621519191762, 101.85942132196737, 115.21588298694297, 80.66512173205675, 101.75332394779505, 120.7270724405371, 152.59856561746443, 95.64708520129003, 113.62024739316078, 138.40492401640557, 75.66814361539541, 85.56520871110351, 90.4928965520482, 85.81857047607105]","[126.6587578846073, 31.099310001614917, 80.46894284435423, 91.02054755968496, 63.72544616832483, 80.38512591875809, 95.37438722802432, 120.5528668377969, 75.56119730901912, 89.75999544059701, 109.3398899729604, 59.77783345616237, 67.59651488177177, 71.48938827611808, 67.79667067609613]","[-1.0238133418697042, -1.0238133418697042, -0.12491992395874446, -1.6733736690597976, -1.6733736690597976, -1.1642332293115611, -3.5847795932994404, -3.5847795932994404, -3.5847795932994404, -1.9143822603518084, -1.1058866246970611, 126.6587578846073, 31.099310001614917, 80.46894284435423, 91.02054755968496, 63.72544616832483, 80.38512591875809, 95.37438722802432, 120.5528668377969, 75.56119730901912, 89.75999544059701, 109.3398899729604, 59.77783345616237, 67.59651488177177, 71.48938827611808, 67.79667067609613]",55.46082347101042,2034.0,39.983992986937295,73.02469802764935,154.57519500364748,353.9458062499557,469.9686553440872,2.1725466076981528,2.1220143544238383,4.510980567431156,2.6957401391200912,12.66872104025013,3.5340306734422704,1.1058866246970611,0.9600734906883583,4.294925401920322,"[126.35992446120319, 75.02950153556445, 170.5517378143484, 172.79212591842943, 141.73346481377, 148.75598114473968, 113.843683946097, 173.54588918057433, 117.01290120751645, 135.431335657961, 136.4565817412006, 81.38898602205506, 70.64901480706824, 68.21564070837209, 91.12298109187455]","[54, 27, 65, 61, 51, 70, 55, 68, 45, 41, 46, 32, 32, 30, 31]",2034.0,"[21.93621852891136, 27.863979212281897, 46.05769727980049, 76.48957985332724, 88.78807313523681, 67.36850736615837, 47.888873653501975, 81.39512629243876, 55.28546330958815, 67.27146284527223, 55.34166485817573, 43.319227173155554]","[9, 10, 20, 32, 39, 32, 19, 32, 22, 24, 22, 14]",2037.0,"[4.131549004884582, 8.07112017044364, 6.732486720181338, 13.414186283191068, 16.38110323449587, 9.882888762088973, 24.610000484931547, 13.861356489891037, 25.926848045299174, 27.096724585726047]","[2, 3, 3, 5, 7, 5, 11, 6, 10, 10]",2039.0
8,False,1.6888174760218453,1.5521658898473816,False,0.0,1,"[-1.0880392921067865, -0.6007781839150589]",[],[],[],[],"[-1.0880392921067865, -0.6007781839150589]",-1.588687778702669,,,,,,,1.6888174760218453,1.5521658898473816,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
9,True,26.38298975930742,11.522598475887197,False,0.0,1,"[-1.0364606365711926, -1.0004824167314432, -1.5523146989555086, -1.5523146989555086, -1.5523146989555086, -1.5523146989555086, -0.5309030756574299, -4.337852802051133, -4.337852802051133, -4.337852802051133, -4.337852802051133, -0.25447362632078735, -0.0, -0.0]","[106.34235091084543, 157.86651127894945, 146.00671154176231, 162.31797522749392, 180.48603558667025, 283.8491035909545, 196.71703881366966, 242.30357709425684, 244.61192972767628, 235.06914729056513, 216.74457149785735, 165.89465722677463, 177.99213346083857, 148.19120467440064, 154.9942544916844]","[36, 54, 52, 66, 72, 106, 84, 98, 83, 86, 77, 69, 73, 62, 60]","[62.85851895693659, 91.22948846093394, 68.45440007003528, 93.78493872183805, 98.16429858636724, 149.92360043975236, 105.59062193930612, 129.74983904024705, 118.59358152120772, 126.11958484209205, 124.58167604041483, 90.372122063614, 102.26436230398653, 78.51173851685544, 77.8434719582332]","[49.65822997597991, 72.07129588413781, 54.07897605532787, 74.09010159025206, 77.54979588323012, 118.43964434740437, 83.41659133205184, 102.50237284179516, 93.68892940175411, 99.63447202525272, 98.41952407192773, 71.39397643025507, 80.78884622014937, 62.0242734283158, 61.49634284700423]","[-1.0364606365711926, -1.0004824167314432, -1.5523146989555086, -1.5523146989555086, -1.5523146989555086, -1.5523146989555086, -0.5309030756574299, -4.337852802051133, -4.337852802051133, -4.337852802051133, -4.337852802051133, -0.25447362632078735, -0.0, -0.0, 49.65822997597991, 72.07129588413781, 54.07897605532787, 74.09010159025206, 77.54979588323012, 118.43964434740437, 83.41659133205184, 102.50237284179516, 93.68892940175411, 99.63447202525272, 98.41952407192773, 71.39397643025507, 80.78884622014937, 62.0242734283158, 61.49634284700423]",23.360051285408307,2036.0,18.944182454430752,35.320249517821274,113.2048980941986,304.6288764963186,417.9388754861608,2.036943053302636,1.9652874228212158,6.740161871479464,4.342007375189228,17.60588483452532,4.058663499646752,0.0,1.1566401782300004,6.086511676501196,"[106.34235091084543, 157.86651127894945, 146.00671154176231, 145.2540252846612, 115.69097642000425, 222.82600388141378, 117.29360883385102, 152.24087384248443, 151.85232985906666, 133.24719080971684, 122.97042380791204, 86.147721711837, 96.85805355122068, 61.22521303230656, 80.53689745657276]","[36, 54, 52, 58, 46, 83, 53, 58, 48, 44, 43, 34, 40, 31, 34]",2036.0,"[17.063949942832725, 64.79505916666602, 51.20572183938692, 73.94441749537548, 71.09419421148598, 81.0456218538308, 80.96659073702354, 69.09328344290266, 60.6382334246854, 62.834561276517114, 59.45145188047884, 57.18993858346978]","[8, 26, 19, 29, 33, 31, 34, 24, 27, 26, 22, 20]",2039.0,"[9.817377870153791, 5.479012484443168, 18.968509040286417, 11.713978014778842, 20.855365743824734, 24.68086424704264, 19.108702090252223, 18.299518633100764, 27.51453976161523, 17.26741845164185]","[4, 2, 7, 4, 8, 10, 8, 7, 9, 6]",2041.0
