iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,False,23.013591991604045,9.317579958437596,False,0.0,1,"[-1.3120073129075915, -0.9220759007532682, -1.6562339186712982, -1.6562339186712982, -1.2302529050863744, -4.300223032315875, -4.300223032315875, -4.300223032315875, -3.1520002105506237, -0.1616501043902986, -0.022468623625669586]",[],[],[],[],"[-1.3120073129075915, -0.9220759007532682, -1.6562339186712982, -1.6562339186712982, -1.2302529050863744, -4.300223032315875, -4.300223032315875, -4.300223032315875, -3.1520002105506237, -0.1616501043902986, -0.022468623625669586]",-9.9187530057544,,,,,,,2.2340832136608597,1.7027978363244174,4.542720742428971,2.7428014190612253,16.05266930749825,3.7329852863127244,0.18411872801596818,1.13899541673923,,,,,,,,,,
1,True,25.56451509398728,11.396489422144745,False,0.0,1,"[-0.6619640862571811, -0.6619640862571811, -0.3388166800184976, -1.8799494693710506, -1.8799494693710506, -1.8799494693710506, -1.6849912472032715, -4.508275828753106, -4.508275828753106, -4.508275828753106, -2.59492372641229, -0.32360569164072117, -0.13357368182566334]","[67.0185326993378, 148.48712939994735, 181.63517953729087, 161.44235412077768, 248.49001269686772, 288.80916357665194, 243.5975527245252, 222.17535470180178, 222.00306523365802, 155.4240277896264, 167.97741089140226, 170.98527454697413, 147.70779933015885, 151.10193299727013, 110.50043982540635]","[30, 55, 73, 66, 98, 115, 93, 95, 98, 72, 69, 67, 69, 67, 48]","[43.37943571765925, 77.562688754274, 115.42611389045311, 82.57471773498426, 144.08211630093217, 163.0412379383319, 128.9645181588864, 113.63799866129992, 117.73620238065408, 72.8579176220071, 96.2392630038461, 92.41980092582637, 88.485855953168, 81.60202432227771, 50.81208532290911]","[34.26975421695081, 61.27452411587647, 91.18662997345795, 65.23402701063756, 113.82487187773641, 128.8025779712822, 101.88196934552025, 89.77401894242693, 93.01159988071672, 57.55775492138561, 76.02901777303842, 73.01164273140283, 69.90382620300272, 64.4655992145994, 40.1415474050982]","[-0.6619640862571811, -0.6619640862571811, -0.3388166800184976, -1.8799494693710506, -1.8799494693710506, -1.8799494693710506, -1.6849912472032715, -4.508275828753106, -4.508275828753106, -4.508275828753106, -2.59492372641229, -0.32360569164072117, -0.13357368182566334, 34.26975421695081, 61.27452411587647, 91.18662997345795, 65.23402701063756, 113.82487187773641, 128.8025779712822, 101.88196934552025, 89.77401894242693, 93.01159988071672, 57.55775492138561, 76.02901777303842, 73.01164273140283, 69.90382620300272, 64.4655992145994, 40.1415474050982]",31.21870557645735,2036.0,20.83856246195577,41.84842190664239,122.01935849581065,294.5736573614277,424.12076507297206,1.6627448525328596,2.5118354410043677,7.324839655316423,3.8962960306411833,16.11975121267161,3.575591162781624,0.4571793734663845,1.4127667877175711,5.861147716997008,"[67.0185326993378, 148.48712939994735, 181.63517953729087, 137.06656303314838, 194.2593629209987, 227.01319944620985, 139.50293631141253, 125.71410307259973, 112.98892337511379, 65.7103663620047, 85.9022217604839, 73.62467545552988, 68.806756886996, 89.16912677136817, 66.72629413229932]","[30, 55, 73, 54, 76, 88, 51, 54, 50, 30, 31, 30, 32, 39, 27]",2036.0,"[24.37579108762931, 54.230649775869004, 52.46104620777444, 85.62397039782037, 80.74343725736317, 88.47518042103647, 72.36438822927813, 58.45139840250316, 76.51018391762975, 52.019805865919935, 41.33590900460168, 28.194807812978862]","[12, 22, 23, 34, 34, 39, 35, 28, 29, 26, 19, 14]",2039.0,"[9.334917922667652, 18.4706460152923, 15.71781437183887, 20.538961437507762, 17.34927319834355, 23.6237907284152, 20.850415173814504, 26.881236577242912, 20.596897221300267, 15.579337880128168]","[4, 8, 7, 9, 7, 10, 8, 11, 9, 7]",2041.0
2,False,26.275907277709642,8.458704354937367,False,0.0,0,"[-1.468887096902144, -0.9388162129119507, -2.1908787144703368, -2.1908787144703368, -1.0515372547312751, -3.9638193324004733, -3.9638193324004733, -3.9638193324004733, -1.956354383951328, -4.587096903070853]",[],[],[],[],"[-1.468887096902144, -0.9388162129119507, -2.1908787144703368, -2.1908787144703368, -1.0515372547312751, -3.9638193324004733, -3.9638193324004733, -3.9638193324004733, -1.956354383951328, -4.587096903070853]",-10.918324212202293,,,,,,,2.4077033098140945,1.6391343588570537,5.4332946836719485,2.4799614181223597,13.847812381152748,3.4935528640167783,4.587096903070853,0.8460557139411757,,,,,,,,,,
3,False,2.8333644791185364,2.167891838592736,False,0.0,1,"[-1.3069676395653507, -1.3069676395653507, -0.21942919998783522]",[],[],[],[],"[-1.3069676395653507, -1.3069676395653507, -0.21942919998783522]",-2.548488728083584,,,,,,,2.8333644791185364,2.167891838592736,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
4,False,1.913838956036984,2.428998107637471,False,0.0,0,"[-0.7879129053329939, -0.7879129053329939, -0.33801314537099614]",[],[],[],[],"[-0.7879129053329939, -0.7879129053329939, -0.33801314537099614]",-1.6792383440625696,,,,,,,1.913838956036984,2.428998107637471,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
5,False,7.329953568798358,4.675802142939635,False,0.0,1,"[-1.159305442542422, -0.8123560682651875, -1.801060792039211, -1.801060792039211, -1.756170473912327]",[],[],[],[],"[-1.159305442542422, -0.8123560682651875, -1.801060792039211, -1.801060792039211, -1.756170473912327]",-4.976204676173831,,,,,,,1.9716615108076094,1.700726519909753,5.358292057990749,2.9750756230298823,0.0,0.0,0.0,0.0,,,,,,,,,,
6,False,2.1351836034922216,1.8305386594984647,False,0.0,1,"[-1.1664236602778026, -0.9687599432144188]",[],[],[],[],"[-1.1664236602778026, -0.9687599432144188]",-1.973723612956485,,,,,,,2.1351836034922216,1.8305386594984647,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
7,True,20.827819035291856,8.161858861720885,False,0.0,1,"[-1.2435398085784555, -1.2435398085784555, -0.05770835780422356, -1.6987031229922482, -1.6987031229922482, -1.09886310696529, -5.192962580578542, -5.192962580578542, -2.606499966050734, -0.7943365801731153]","[99.60490292725191, 98.6555053240115, 154.90369745848884, 174.6329914489, 279.2941304455551, 231.81748346983898, 243.21120985736616, 215.51753355414044, 219.10647689022278, 173.54121649798284, 175.93285447537423, 167.01963898558034, 134.82750973578004, 146.63403673145183, 108.43739866933849]","[38, 40, 54, 75, 110, 98, 94, 89, 90, 86, 75, 73, 59, 63, 46]","[53.11322271486368, 49.675358817829434, 89.39387207309906, 95.98327634260431, 139.10466838720708, 126.18259178514387, 127.46173005689863, 114.19033695383075, 119.01459559338298, 107.40883948106895, 94.60832408799862, 101.34011224757482, 72.4359460365367, 87.83199228749231, 56.4234755596364]","[41.959445944742306, 39.24353346608525, 70.62115893774826, 75.8267883106574, 109.89268802589359, 99.68424751026366, 100.69476674494992, 90.2103661935263, 94.02153051877255, 84.85298319004447, 74.74057602951892, 80.05868867558411, 57.224397368864, 69.38727390711892, 44.57454569211276]","[-1.2435398085784555, -1.2435398085784555, -0.05770835780422356, -1.6987031229922482, -1.6987031229922482, -1.09886310696529, -5.192962580578542, -5.192962580578542, -2.606499966050734, -0.7943365801731153, 41.959445944742306, 39.24353346608525, 70.62115893774826, 75.8267883106574, 109.89268802589359, 99.68424751026366, 100.69476674494992, 90.2103661935263, 94.02153051877255, 84.85298319004447, 74.74057602951892, 80.05868867558411, 57.224397368864, 69.38727390711892, 44.57454569211276]",55.617414621035714,2033.0,41.460849475215525,75.18416989251882,157.4422924734001,298.8281001861124,397.0740844023046,2.5447879749611344,2.0464065222569694,4.496269352949787,2.646883550216623,12.992425127207818,2.501929279405735,0.7943365801731153,0.9666395098415577,4.372173620039401,"[99.60490292725191, 98.6555053240115, 154.90369745848884, 161.99917846782807, 242.74897465484625, 147.9196063985379, 135.75177070629758, 124.93600883031566, 140.59446578403623, 64.90377661586166, 85.25262889769282, 81.1442521864223, 64.63463298934231, 81.33239619233696, 60.18983852376511]","[38, 40, 54, 69, 96, 60, 55, 51, 53, 36, 40, 37, 26, 33, 26]",2033.0,"[12.63381298107192, 36.54515579070883, 78.1397244233763, 94.52592630027192, 80.5586939472148, 61.98658413018855, 83.35443985460688, 65.20459535029991, 59.576887597702466, 50.77355856660418, 40.71833443048864, 35.58973244117435]","[6, 14, 36, 34, 34, 30, 40, 25, 26, 24, 21, 14]",2036.0,"[5.758152647924775, 12.933512850796653, 10.022830776609997, 16.52542697599802, 25.283000027514312, 25.475630227381522, 26.298499201455563, 19.419318179833567, 24.583306108626246, 12.657827704399029]","[2, 5, 4, 7, 10, 10, 10, 9, 9, 6]",2038.0
8,False,5.241480029127288,4.443611180015127,False,0.0,1,"[-0.8423776556083695, -0.6889324537955018, -1.4129844313713462, -1.4129844313713462, -0.8842010569807245]",[],[],[],[],"[-0.8423776556083695, -0.6889324537955018, -1.4129844313713462, -1.4129844313713462, -0.8842010569807245]",-3.641835234678444,,,,,,,1.5313101094038712,1.817842744532381,3.710169919723417,2.6257684354827457,0.0,0.0,0.0,0.0,,,,,,,,,,
9,False,7.433197961338516,4.471848161416688,False,0.0,1,"[-1.0586926701999195, -0.9732398576762142, -2.116016029835866, -2.116016029835866, -1.1692333737906513]",[],[],[],[],"[-1.0586926701999195, -0.9732398576762142, -2.116016029835866, -2.116016029835866, -1.1692333737906513]",-5.1275941780229495,,,,,,,2.0319325278761338,1.9192845903924425,5.401265433462383,2.552563571024245,0.0,0.0,0.0,0.0,,,,,,,,,,
