Starting Age,Scenario,Decline Rate,Starting eGFR,Total Costs,Total QALYs,Life Years,Incremental Costs,Incremental QALYs,ICER,Max Price €100K,Max Price €150K,Max Price €300K
1,Optimistic,0.3,95.0,1280924.1684167096,22.186342880744053,50.48542159859062,-81927.93958454253,8.617255147542956,-9507.428778861527,943653.4543388381,1374516.2117159858,2667104.483847429
1,Realistic,0.52,95.0,1287979.6742311795,21.291865396431554,48.750099783621074,-74872.43377007265,7.722777663230456,-9695.01350874749,847150.2000931182,1233289.0832546412,2391705.7327392097
1,Conservative,0.74,95.0,1270426.5757073525,19.83724394161279,44.71288579453522,-92425.53229389968,6.268156208411693,-14745.250312981538,719241.153135069,1032648.9635556536,1972872.3948174075
1,Pessimistic,1.04,95.0,1283436.843090453,17.685859215307907,39.624071217240676,-79415.26491079922,4.1167714821068095,-19290.666303915772,491092.41312148015,696930.9872268207,1314446.709542842
3,Optimistic,0.3,91.0,1288792.607035993,20.53941398236242,47.76529462141438,-62810.551475704415,8.018026407795602,-7833.667324247805,864613.1922552646,1265514.5126450448,2468218.473814385
3,Realistic,0.52,91.0,1274189.8654532903,19.8677057018748,45.65038667644491,-77413.29305840703,7.346318127307985,-10537.69952741955,812045.1057892055,1179361.0121546048,2281308.7312508025
3,Conservative,0.74,91.0,1258758.9450864524,18.329254743383487,41.55683033615566,-92844.2134252449,5.807867168816671,-15985.939541410266,673630.9303069119,964024.2887477456,1835204.3640702462
3,Pessimistic,1.04,91.0,1270658.5230202638,16.34640338151536,36.86042155499123,-80944.63549143355,3.8250158069485423,-21161.908754570148,463446.21618628775,654697.006533715,1228449.3775759963
5,Optimistic,0.3,87.0,1271678.548715257,19.747640365102814,45.87087148327486,-89298.1878560218,8.25715205466794,-10814.64738263354,915013.3933228159,1327870.996056213,2566443.8042564043
5,Realistic,0.52,87.0,1246440.3916553615,18.872409350938565,42.999653657073296,-114536.34491591738,7.381921040503691,-15515.791118256422,852728.4489662865,1221824.500991471,2329112.657067025
5,Conservative,0.74,87.0,1233558.3626199702,17.323829823758608,38.9809430487317,-127418.37395130866,5.8333415133237345,-21843.119189966288,710752.5252836822,1002419.6009498688,1877420.827948429
5,Pessimistic,1.04,87.0,1250529.128950437,15.234908115839009,34.29417497825081,-110447.60762084182,3.744419805404135,-29496.587818876047,484889.58816125535,672110.578431462,1233773.5492420823
7,Optimistic,0.3,83.0,1245885.5424949646,19.269296998868082,44.274392166583844,-93679.75061559817,8.73619554455599,-10723.174651690946,967299.3050711972,1404109.0822989966,2714538.413982395
7,Realistic,0.52,83.0,1213404.1385605128,18.038505598205333,40.52724023972561,-126161.15455004992,7.505404143893241,-16809.37523566945,876701.5689393741,1251971.776134036,2377782.397718022
7,Conservative,0.74,83.0,1207622.4729835202,16.379414200374132,36.50430889497684,-131942.82012704248,5.84631274606204,-22568.55318181815,716574.0947332465,1008889.7320363484,1885836.6439456544
7,Pessimistic,1.04,83.0,1230245.8069445563,14.252243390132815,31.93686516140484,-109319.48616600642,3.7191419358207227,-29393.73867748941,481233.6797480787,667190.7765391149,1225062.0669122234
10,Optimistic,0.3,77.0,1201659.8664204094,18.42212530286001,41.502541431703186,-123116.33365951711,9.004867179022405,-13672.19873562677,1023603.0515617576,1473846.4105128779,2824576.4873662386
10,Realistic,0.52,77.0,1162021.0034579958,16.56465670456585,36.530500885987344,-162755.1966219307,7.147398580728243,-22771.24953696757,877495.054694755,1234864.9837311672,2306974.7708404036
10,Conservative,0.74,77.0,1169530.0295584784,14.889151453223466,32.84156824934557,-155246.17052144813,5.4718933293858605,-28371.563767101474,702435.5034600341,976030.1699293272,1796814.1693372063
10,Pessimistic,1.04,77.0,1198937.3006550826,12.882404332144052,28.774485692539777,-125838.89942484396,3.4651462083064466,-36315.610326395545,472353.52025548863,645610.830670811,1165382.761916778
15,Optimistic,0.3,67.0,1095243.9449127105,15.514267385771696,33.399185553354,-57215.48963349522,6.8741169826578385,-8323.322075815646,744627.1878992791,1088333.0370321712,2119450.584430847
15,Realistic,0.52,67.0,1088656.0594501386,14.04283283977632,30.35739838329048,-63803.37509606709,5.402682436662463,-11809.573456159304,604071.6187623134,874205.7405954365,1684608.106094806
15,Conservative,0.74,67.0,1102955.9149616633,12.625881099679642,27.599122264160236,-49503.51958454237,3.985730696565785,-12420.186749495135,448076.58924112085,647363.1240694101,1245222.728554278
15,Pessimistic,1.04,67.0,1127105.4674096238,11.285337254843043,24.974743951465328,-25353.967136581894,2.6451868517291857,-9584.943732805774,289872.65230950044,422131.99489595974,818910.0226553376
