iteration,scenario,incremental_costs,incremental_qalys,icer
0,Realistic Treatment,-257451.0569279883,9.264318114654401,-27789.531160501643
1,Realistic Treatment,-73714.07976979832,12.305798643246519,-5990.19063344198
2,Realistic Treatment,85879.87454190012,12.559557181154261,6837.810704884064
3,Realistic Treatment,95132.81856852467,11.659128400153271,8159.513756386288
4,Realistic Treatment,-132892.94174082694,10.124780870754638,-13125.51288143799
5,Realistic Treatment,205936.57245873078,9.716562753340277,21194.385060492266
6,Realistic Treatment,63920.5308806377,13.730110756826939,4655.500018370564
7,Realistic Treatment,245200.0508554636,7.291378830471917,33628.76303048893
8,Realistic Treatment,260930.79341866658,7.507356827561267,34756.67926969029
9,Realistic Treatment,-138480.9362535507,8.628301115069796,-16049.617926718647
10,Realistic Treatment,-107034.38118035276,13.977657826588876,-7657.533365622068
11,Realistic Treatment,-211158.44597968343,11.505814477745824,-18352.324938673337
12,Realistic Treatment,303721.61127384217,9.120342382539175,33301.55804844727
13,Realistic Treatment,5073.225703659467,13.238080583702008,383.2297040029611
14,Realistic Treatment,8874.843139232835,11.15488444820295,795.6015304723817
15,Realistic Treatment,240694.34177431976,10.661423900663287,22576.190949442058
16,Realistic Treatment,848915.6550322797,14.485101064691342,58606.12578683233
17,Realistic Treatment,288306.46149917366,9.67846261207469,29788.456395903962
18,Realistic Treatment,322413.2897013065,9.37261634379033,34399.49720281851
19,Realistic Treatment,335548.92862699507,15.201110501747248,22073.974699968556
20,Realistic Treatment,161461.37035472435,11.048742010634008,14613.55240255621
21,Realistic Treatment,564856.6200750682,12.465034077182217,45315.28887747388
22,Realistic Treatment,-65008.398736777715,12.919686063918293,-5031.732072680248
23,Realistic Treatment,-138055.9425219593,11.96556407619835,-11537.771361450257
24,Realistic Treatment,-387436.10676581203,8.603723121341122,-45031.21512648348
25,Realistic Treatment,271492.49755207053,9.676795649486914,28056.03294583013
26,Realistic Treatment,83239.31550442334,13.752891699481477,6052.495527726849
27,Realistic Treatment,-105762.25583225372,9.228050261840238,-11460.953595972594
28,Realistic Treatment,-505561.1242931688,14.169512309111868,-35679.50069587518
29,Realistic Treatment,560828.9851457472,13.61568666338613,41189.915647359114
30,Realistic Treatment,-47161.73397214664,13.91767973790931,-3388.6204353220155
31,Realistic Treatment,-78071.05767891905,14.069527574403129,-5548.946634210713
32,Realistic Treatment,-120812.21033389797,11.26728938219256,-10722.384615845243
33,Realistic Treatment,-138343.02381872572,12.950971222544686,-10682.057850449246
34,Realistic Treatment,-101636.82140553487,9.18216386719614,-11068.940053296024
35,Realistic Treatment,148813.65781268524,8.289516258538644,17952.03159887638
36,Realistic Treatment,-176037.05890759802,15.971944130970215,-11021.642541702571
37,Realistic Treatment,-184178.2719286629,9.994056202621845,-18428.780886818055
38,Realistic Treatment,-135287.62643363373,15.881095203912587,-8518.78442239319
39,Realistic Treatment,-112256.30690070521,5.503861610565419,-20395.917420091704
40,Realistic Treatment,-563088.8061672784,9.59580735441336,-58680.71183278803
41,Realistic Treatment,-470271.74494024995,10.114624893262555,-46494.23482362676
42,Realistic Treatment,-241087.15024608164,13.312512386567104,-18109.81603212245
43,Realistic Treatment,219781.1685753325,16.701900744728853,13159.051292092954
44,Realistic Treatment,-176584.8178981198,10.477326354479235,-16853.99613639283
45,Realistic Treatment,242646.32934840932,6.851014411725389,35417.57683842037
46,Realistic Treatment,-226370.40309310262,11.462375532343172,-19748.995524911697
47,Realistic Treatment,101288.13477535243,14.478879513137265,6995.578261663803
48,Realistic Treatment,-66543.33989707544,9.521895428937079,-6988.455228656467
49,Realistic Treatment,-3481.687487947056,10.925087682773643,-318.6873724992504
