iteration,scenario,total_costs,total_qalys,life_years,time_to_eskd
0,Natural History,1923083.71804269,16.55768248426034,33.65453412100944,30
0,Realistic Treatment,1665632.6611147018,25.82200059891474,45.4692771947589,100
1,Natural History,1733971.2660053212,15.74016684667479,32.79892724716388,100
1,Realistic Treatment,1660257.1862355229,28.045965489921308,50.203155593026494,100
2,Natural History,1509972.5855095983,15.28800897335362,30.968834009487377,31
2,Realistic Treatment,1595852.4600514984,27.84756615450788,48.01612749703256,100
3,Natural History,1284952.4902287633,15.508569058342523,31.47272537231816,100
3,Realistic Treatment,1380085.308797288,27.167697458495795,50.22633108065028,100
4,Natural History,1819927.646338683,18.03982255836287,34.55626826056136,100
4,Realistic Treatment,1687034.7045978562,28.16460342911751,50.23138445987207,100
5,Natural History,1773409.0017979117,14.88908305307082,29.243008712270584,28
5,Realistic Treatment,1979345.5742566425,24.605645806411097,44.14406041587631,100
6,Natural History,1702837.031315954,14.85636751784121,29.276686704640017,25
6,Realistic Treatment,1766757.5621965916,28.58647827466815,47.22491873202025,100
7,Natural History,1569696.6397577315,16.137438293277814,33.46066995765593,100
7,Realistic Treatment,1814896.690613195,23.42881712374973,49.25073569560564,100
8,Natural History,1761670.814358478,16.6774925551226,32.57985665999543,33
8,Realistic Treatment,2022601.6077771445,24.18484938268387,46.02699781213542,100
9,Natural History,1647464.0929515269,16.772766585045353,34.28746247928616,33
9,Realistic Treatment,1508983.1566979762,25.40106770011515,48.4001656394904,100
10,Natural History,1726437.0878985384,15.46773826953027,29.83656530691262,28
10,Realistic Treatment,1619402.7067181857,29.445396096119147,47.428996126761746,100
11,Natural History,1612471.0260473243,15.959352591246498,31.034119285037615,29
11,Realistic Treatment,1401312.5800676409,27.465167068992322,47.986645904821415,100
12,Natural History,1590458.3006924596,18.83795744907597,35.586270163258455,100
12,Realistic Treatment,1894179.9119663017,27.958299831615143,50.66073542771551,100
13,Natural History,1900070.2568297032,15.819944993276117,31.607003951874717,29
13,Realistic Treatment,1905143.4825333627,29.058025576978125,51.13064412869195,100
14,Natural History,1495066.5811730823,15.741917542446508,30.305839842469716,31
14,Realistic Treatment,1503941.4243123152,26.896801990649458,47.71143672213081,100
15,Natural History,2037893.451078603,16.996298356416506,33.190268641712244,100
15,Realistic Treatment,2278587.792852923,27.657722257079794,48.67184620193506,100
16,Natural History,1547872.341691687,16.358324724207435,31.285399284739054,100
16,Realistic Treatment,2396787.9967239667,30.843425788898777,51.9619110815038,100
17,Natural History,1516914.7209446044,15.568043941488533,29.9502954889145,28
17,Realistic Treatment,1805221.182443778,25.246506553563222,44.725594488947756,100
18,Natural History,1906392.2465636542,16.037667715912384,32.76046883621186,32
18,Realistic Treatment,2228805.5362649607,25.410284059702715,48.16227302957759,100
19,Natural History,1492416.0225441265,16.509133788879783,29.387631697150717,100
19,Realistic Treatment,1827964.9511711216,31.71024429062703,47.443868245143555,100
20,Natural History,1765578.524077613,15.803794479003919,30.55907639306174,31
20,Realistic Treatment,1927039.8944323373,26.852536489637927,45.643692660411745,100
21,Natural History,1482558.699074441,19.23750701669134,34.42303942480558,100
21,Realistic Treatment,2047415.3191495093,31.702541093873556,50.455646712265306,100
22,Natural History,1973341.0922756272,15.299314432799205,29.472824427942093,25
22,Realistic Treatment,1908332.6935388495,28.2190004967175,48.389619941043854,100
23,Natural History,1859633.7528206415,15.994090200336105,31.358555049234553,28
23,Realistic Treatment,1721577.8102986822,27.959654276534454,48.53114748357973,100
24,Natural History,1978159.060263029,17.137665475544228,32.78196475054659,100
24,Realistic Treatment,1590722.953497217,25.74138859688535,43.991041015728726,100
25,Natural History,1528111.6501110084,15.190710436239,30.9890941547815,100
25,Realistic Treatment,1799604.147663079,24.867506085725914,49.59370571511448,100
26,Natural History,1570284.2849331484,16.113910402147848,31.924821826567158,100
26,Realistic Treatment,1653523.6004375718,29.866802101629325,49.30102789116205,100
27,Natural History,1600294.8388388315,14.100721866682278,29.832134709472516,26
27,Realistic Treatment,1494532.5830065778,23.328772128522516,46.07840168015429,100
28,Natural History,2396548.848727717,15.889499062441066,31.022501021632905,28
28,Realistic Treatment,1890987.7244345483,30.059011371552934,49.055513408838394,100
29,Natural History,1684366.7575924448,15.553143776758747,30.56182554129659,100
29,Realistic Treatment,2245195.742738192,29.168830440144877,49.01840248802095,100
30,Natural History,1892093.5803533029,16.804322428506502,31.90541359445188,31
30,Realistic Treatment,1844931.8463811562,30.722002166415812,47.9554025496407,100
31,Natural History,1730813.1516083146,14.476214506501119,30.114044834974077,28
31,Realistic Treatment,1652742.0939293955,28.545742080904247,47.86151149554477,100
32,Natural History,1838380.2313382158,15.54968541225029,30.07286606749031,30
32,Realistic Treatment,1717568.0210043178,26.81697479444285,47.640203744294766,100
33,Natural History,1952828.007652002,15.994492554759676,32.07686423208742,27
33,Realistic Treatment,1814484.9838332762,28.94546377730436,48.30320606461586,100
34,Natural History,1605335.080764429,15.841369490390145,30.97644358976555,32
34,Realistic Treatment,1503698.259358894,25.023533357586285,46.57426911401812,100
35,Natural History,1852861.266003378,17.540329518328313,32.420686475884516,100
35,Realistic Treatment,2001674.9238160632,25.829845776866957,45.30654405357903,100
36,Natural History,1884560.7904672758,14.323380733025473,30.152026715432264,27
36,Realistic Treatment,1708523.7315596777,30.29532486399569,48.80179053882137,100
37,Natural History,1722802.2655731004,15.671116330812016,32.19396176151673,100
37,Realistic Treatment,1538623.9936444375,25.66517253343386,49.24168786931202,100
38,Natural History,2185620.9275978664,15.562646515112249,29.93461276160537,27
38,Realistic Treatment,2050333.3011642327,31.443741719024835,48.930235056166914,100
39,Natural History,1532085.939020962,16.48471039079433,34.25775438278305,100
39,Realistic Treatment,1419829.6321202568,21.98857200135975,44.53969365887136,100
40,Natural History,2089106.4084773252,14.742126943539397,29.952130014754044,27
40,Realistic Treatment,1526017.6023100468,24.337934297952756,45.686522629404195,100
41,Natural History,2118777.360817887,16.13365394175366,31.832675597795873,30
41,Realistic Treatment,1648505.615877637,26.248278835016215,47.12657938450209,100
42,Natural History,1767929.3804785295,15.810948593191082,29.70146632276601,26
42,Realistic Treatment,1526842.2302324479,29.123460979758185,48.72382390122297,100
43,Natural History,1737872.986442681,16.097865178137482,29.754480421184418,100
43,Realistic Treatment,1957654.1550180134,32.799765922866335,49.43604920693839,100
44,Natural History,1880524.7639626698,13.102656219708098,30.67784853859366,25
44,Realistic Treatment,1703939.94606455,23.579982574187333,45.080139015201375,100
45,Natural History,1631148.6447135224,15.966189687049754,32.83896463513343,100
45,Realistic Treatment,1873794.9740619317,22.817204098775143,46.51629480860789,100
46,Natural History,1690868.1594313974,15.417222217156644,31.108155682652797,26
46,Realistic Treatment,1464497.7563382948,26.879597749499816,48.14871656910729,100
47,Natural History,1928279.501894536,18.941877047504917,34.654458728949,100
47,Realistic Treatment,2029567.6366698884,33.42075656064218,50.510717247045044,100
48,Natural History,1712860.9788715614,15.750561139795057,31.549940918213924,31
48,Realistic Treatment,1646317.638974486,25.272456568732135,44.44895939824546,100
49,Natural History,1793673.5503772844,17.473812884789396,32.76230637323055,33
49,Realistic Treatment,1790191.8628893374,28.39890056756304,46.88226320215625,100
50,Natural History,1610643.398568878,16.610059184823996,31.672270979480366,100
50,Realistic Treatment,1697922.8314444348,31.659413154595512,50.79077385081979,100
51,Natural History,1746541.8116580648,15.140925423669957,31.727796481902104,30
51,Realistic Treatment,1720022.486096705,25.876876142588785,48.97389140787856,100
52,Natural History,1874817.0936915479,15.436169521188884,31.53256289857892,26
52,Realistic Treatment,1692809.9812330944,29.917088232099566,47.29508225852614,100
53,Natural History,1725376.5779297347,15.123668227640817,32.15095442638555,32
53,Realistic Treatment,1822059.854489284,25.902735364566965,51.896803461034914,100
54,Natural History,1830353.86825872,16.147522124601323,31.62063324625182,31
54,Realistic Treatment,1861337.877333632,28.309096169609575,48.0954495719638,100
55,Natural History,1978919.9482990503,18.71323090088882,33.90214344524746,35
55,Realistic Treatment,1832182.691261753,31.728454538206563,48.84131752596872,100
56,Natural History,1992317.8999906676,14.93547454575872,31.294139896415057,100
56,Realistic Treatment,2598183.4572964055,25.400063862477843,49.35103145914447,100
57,Natural History,1844896.7722638273,18.769445694026096,32.927718485971674,33
57,Realistic Treatment,2296730.1055612816,29.953032294273832,48.306893273679286,100
58,Natural History,2015436.5116131012,13.722872433898715,32.113986331889954,25
58,Realistic Treatment,1567214.5295253797,23.359507930745963,45.37290961687568,100
59,Natural History,2225399.0833312855,16.130071759973994,31.714269507922758,32
59,Realistic Treatment,1989292.4008919506,28.857796625602408,48.38817216745421,100
60,Natural History,1849053.8336064513,14.712767978433302,29.95667746222881,25
60,Realistic Treatment,1773875.9229121578,27.06014058889567,49.519218260790396,100
61,Natural History,1847315.9614944344,15.421809387026794,31.883231342247065,27
61,Realistic Treatment,2290837.414119445,26.17985594037845,47.69793191894684,100
62,Natural History,1429578.580274181,17.050666779737437,33.062172680851084,100
62,Realistic Treatment,1983539.9401494453,24.050026534044974,47.480559862996095,100
63,Natural History,1666671.1489363695,17.29506647907553,32.66593511862544,100
63,Realistic Treatment,1555481.9463278956,27.15656911100488,48.807154512651486,100
64,Natural History,1825705.2046118488,15.452642538520314,29.714160567266962,26
64,Realistic Treatment,1354808.8207854293,27.030477214878992,46.43267995714474,100
65,Natural History,1652904.460233148,15.680742546059582,29.87469638412256,29
65,Realistic Treatment,1780852.2653532568,29.550965373383107,49.595910733859455,100
66,Natural History,1289707.0352717356,17.340412328725016,32.62247989346534,100
66,Realistic Treatment,1683137.2458857375,23.49695486440679,46.637583069409025,100
67,Natural History,1555431.989219171,17.70107260647553,32.77654985070464,34
67,Realistic Treatment,1939238.9574448187,29.38805285240656,48.19241847794238,100
68,Natural History,1776369.0303512923,15.549591326050445,32.22621012734362,30
68,Realistic Treatment,1503263.986474052,26.497171830529314,46.43105636219767,100
69,Natural History,1852363.5146026467,19.21766486042663,34.82785146037638,37
69,Realistic Treatment,1808416.5206773141,29.120725499684838,46.91828751153385,100
70,Natural History,2138410.6894260775,15.242628698564065,31.319226806986652,28
70,Realistic Treatment,1763765.5057251723,27.949578010488636,48.67490462570876,100
71,Natural History,1674127.466856635,16.015484712222097,30.811494028895915,28
71,Realistic Treatment,1864356.068797907,29.08621389935579,48.905997368362684,100
72,Natural History,1755959.7150788405,16.455713596948662,31.396761630273037,32
72,Realistic Treatment,1595095.8929168538,27.637419593946834,44.63527941360281,100
73,Natural History,1375440.557089691,16.251920666572644,31.079643372645226,30
73,Realistic Treatment,1938969.506111232,26.159082038099196,49.4692164126889,100
74,Natural History,1402184.2411566053,16.335194086430665,30.79011240416477,100
74,Realistic Treatment,1885114.09085404,30.968692078371454,50.625601908341416,100
75,Natural History,1746070.1032675342,15.698031576943658,29.437111377864568,25
75,Realistic Treatment,1690780.4597104357,27.083483983811263,44.327506805339254,100
76,Natural History,1951078.1051404416,14.833470796318391,30.537595063725256,28
76,Realistic Treatment,1489738.4528495404,26.064640959231767,45.379775763641526,100
77,Natural History,1785529.0839466238,16.167364633443448,30.484121088388246,30
77,Realistic Treatment,2003299.161152248,31.19479541975332,51.43979863450402,100
78,Natural History,1803788.5586733748,18.924764254891368,34.67396753832628,100
78,Realistic Treatment,1877463.8736564487,28.65772455938972,48.844145174105854,100
79,Natural History,1897259.9710149171,17.10453863523197,32.01950103321341,29
79,Realistic Treatment,1757041.5731704067,28.70779900186567,46.68510545167457,100
80,Natural History,1672786.5652463036,17.29626577076784,32.868731391873744,33
80,Realistic Treatment,1768813.132421499,28.991109850905303,48.473945240660015,100
81,Natural History,1938019.2892910824,17.86640371310604,33.019436732469444,100
81,Realistic Treatment,1836761.672738291,28.771791831686578,47.97549573952394,100
82,Natural History,1719675.3817293542,15.685211735200044,32.011322577568045,29
82,Realistic Treatment,1632323.8251203157,24.366346465785583,47.561610192936755,100
83,Natural History,1997418.9965378852,14.64396397727391,30.172501835175606,26
83,Realistic Treatment,1878888.9166862757,27.60492150874058,44.851509095721596,100
84,Natural History,1445296.0357121758,15.699313074343252,30.879338590574868,100
84,Realistic Treatment,1921586.9138122834,26.53546693917836,51.32189072605367,100
85,Natural History,1721201.3765657311,15.082775614446899,31.629545987012637,30
85,Realistic Treatment,1706557.6589130245,24.342399015034992,49.47241501930021,100
86,Natural History,1432385.2499587263,16.216635776438167,30.731245161650936,30
86,Realistic Treatment,1572502.1554156828,29.555385432651327,50.9335078996386,100
87,Natural History,1868483.0147398408,19.09828705319121,34.85185738850192,100
87,Realistic Treatment,1971640.3783006787,29.24512735613008,48.65697495847241,100
88,Natural History,1632564.9088037685,16.792400012720037,32.782912497796985,100
88,Realistic Treatment,1989513.2152291944,29.37545021125215,51.14090085925082,100
89,Natural History,1462698.86699794,17.283506617561496,33.7460576007611,100
89,Realistic Treatment,2132052.4718354046,28.57006180344616,52.13393440799154,100
90,Natural History,1361793.7735913056,17.10411669283642,33.76310254888971,100
90,Realistic Treatment,1585149.7286429629,26.686556302560547,47.16305285171647,100
91,Natural History,2024041.4781943061,14.430089172699557,28.455290082957628,24
91,Realistic Treatment,2166354.236327562,28.914190580828322,47.36461322308452,100
92,Natural History,1921349.7172404486,15.561308010693054,31.590662074963312,28
92,Realistic Treatment,1664070.691125351,27.445806943593922,45.620718226066444,100
93,Natural History,1835649.244513539,15.121955523024344,31.326726135795692,28
93,Realistic Treatment,1529213.032564273,23.10636616596318,43.784229728358135,100
