IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",42,0,1,"0",0,"Not applicable",1,"Model-based Estimates",3,"Projection",242
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",89,1,1,"1",0,"Not applicable",1,"Model-based Estimates",3,"Projection",249
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",117,2,2,"2",0,"Not applicable",1,"Model-based Estimates",3,"Projection",263
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",126,3,3,"3",0,"Not applicable",1,"Model-based Estimates",3,"Projection",278
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",135,4,4,"4",0,"Not applicable",1,"Model-based Estimates",3,"Projection",288
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",90,5,5,"5",0,"Not applicable",1,"Model-based Estimates",3,"Projection",310
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",152,6,6,"6",0,"Not applicable",1,"Model-based Estimates",3,"Projection",335
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",161,7,7,"7",0,"Not applicable",1,"Model-based Estimates",3,"Projection",341
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",170,8,8,"8",0,"Not applicable",1,"Model-based Estimates",3,"Projection",332
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",179,9,9,"9",0,"Not applicable",1,"Model-based Estimates",3,"Projection",323
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",91,10,10,"10",0,"Not applicable",1,"Model-based Estimates",3,"Projection",324
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",109,11,11,"11",0,"Not applicable",1,"Model-based Estimates",3,"Projection",330
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",110,12,12,"12",0,"Not applicable",1,"Model-based Estimates",3,"Projection",344
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",111,13,13,"13",0,"Not applicable",1,"Model-based Estimates",3,"Projection",365
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",112,14,14,"14",0,"Not applicable",1,"Model-based Estimates",3,"Projection",377
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",86,15,15,"15",0,"Not applicable",1,"Model-based Estimates",3,"Projection",371
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",113,16,16,"16",0,"Not applicable",1,"Model-based Estimates",3,"Projection",359
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",114,17,17,"17",0,"Not applicable",1,"Model-based Estimates",3,"Projection",352
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",115,18,18,"18",0,"Not applicable",1,"Model-based Estimates",3,"Projection",352
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",116,19,19,"19",0,"Not applicable",1,"Model-based Estimates",3,"Projection",352
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",92,20,20,"20",0,"Not applicable",1,"Model-based Estimates",3,"Projection",354
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",118,21,21,"21",0,"Not applicable",1,"Model-based Estimates",3,"Projection",352
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",119,22,22,"22",0,"Not applicable",1,"Model-based Estimates",3,"Projection",344
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",120,23,23,"23",0,"Not applicable",1,"Model-based Estimates",3,"Projection",337
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",121,24,24,"24",0,"Not applicable",1,"Model-based Estimates",3,"Projection",335
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",93,25,25,"25",0,"Not applicable",1,"Model-based Estimates",3,"Projection",328
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",122,26,26,"26",0,"Not applicable",1,"Model-based Estimates",3,"Projection",309
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",123,27,27,"27",0,"Not applicable",1,"Model-based Estimates",3,"Projection",293
47,"Population by 1-year age groups and sex","Annual population by 1-year age groups and by sex","World Population Prospects",2022,"United Nations Population Division",60,"Bermuda","BM","BMU",74,"2023",4,"Median",1,"Male",124,28,28,"28",0,"Not applicable",1,"Model-based Estimates",3,"Projection",290
